word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Po,ADP,RR--6----------,case,Loc,,,,-0.0981102227803418,O
dodržení,NOUN,NNNS6-----A----,root,Loc,Neut,Sing,,-0.0055589186376521,O
rady,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.1040459275691426,O
výrobce,NOUN,NNMS2-----A----,nmod,Gen,Masc,Sing,Anim,-0.1441493512857747,O
a,CCONJ,J^-------------,cc,,,,,0.3017382853252554,O
používání,NOUN,NNNS6-----A----,conj,Loc,Neut,Sing,,0.0176263309020371,O
funkcí,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,-0.0005793663268817,O
vodní,ADJ,AAFS2----1A----,amod,Gen,Fem,Sing,,-0.0099393483644704,O
komory,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.0005695665635706,O
",",PUNCT,Z:-------------,punct,,,,,-0.0239332750570172,O
resetování,NOUN,NNNS6-----A----,conj,Loc,Neut,Sing,,0.1093529640675673,O
zařízení,NOUN,NNNS2-----A----,nmod,Gen,Neut,Sing,,-0.2638921648285359,O
A,CCONJ,J^-------------,cc,,,,,0.1101197154528454,O
tovární,ADJ,AAFS6----1A----,amod,Loc,Fem,Sing,,0.1076936918973023,O
obnově,NOUN,NNFS6-----A----,conj,Loc,Fem,Sing,,0.2277767837870371,O
mého,DET,PSZS2-S1-------,det,Gen,"Masc,Neut",Sing,,0.0691773438320562,O
zařízení,NOUN,NNNS2-----A----,nmod,Gen,Neut,Sing,,-0.1309715176896808,O
.,PUNCT,Z:-------------,punct,,,,,0.2713504431872206,O
Policejní,ADJ,AANS1----1A----,amod,Nom,Neut,Sing,,0.3811186198636972,O
vyšetřování,NOUN,NNNS1-----A----,nsubj,Nom,Neut,Sing,,0.1421145485321054,O
vyvolalo,VERB,VpNS----R-AAP--,root,,Neut,Sing,,0.0562286421465695,O
obavy,NOUN,NNFP4-----A----,obj,Acc,Fem,Plur,,-0.1400094708591847,O
",",PUNCT,Z:-------------,punct,,,,,0.0979108859344313,O
že,SCONJ,"J,-------------",mark,,,,,-0.0165198295937066,O
otisky,NOUN,NNIP1-----A----,nsubj,Nom,Masc,Plur,Inan,0.1162248436704266,O
některých,DET,PZXP2----------,det,Gen,,Plur,,0.0530420324459432,O
klíčů,NOUN,NNIP2-----A----,nmod,Gen,Masc,Plur,Inan,-0.0087592868912507,O
mohly,VERB,VpTP----R-AAI--,acl,,"Fem,Masc",Plur,Inan,0.1278140562869946,O
být,AUX,Vf--------A-I--,aux:pass,,,,,0.1441911394221037,O
pořízeny,ADJ,VsTP----X-APP--,ccomp,,"Fem,Masc",Plur,Inan,0.1991827346217239,O
v,ADP,RR--6----------,case,Loc,,,,-0.0028553550583706,O
hlíně,NOUN,NNFS6-----A----,obl,Loc,Fem,Sing,,0.072361236555697,O
před,ADP,RR--7----------,case,Ins,,,,0.0281039535873363,O
vytvořením,NOUN,NNNS7-----A----,obl,Ins,Neut,Sing,,0.2305549726817918,O
skutečných,ADJ,AAFP2----1A----,amod,Gen,Fem,Plur,,0.0012227604254912,O
kopií,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,0.0892535879792879,O
.,PUNCT,Z:-------------,punct,,,,,0.626307493592348,O
Zdroje,NOUN,NNIP1-----A----,nsubj,Nom,Masc,Plur,Inan,0.0619848276759616,O
sdělily,VERB,VpTP----R-AAP--,root,,"Fem,Masc",Plur,Inan,0.1338051695051647,O
The,X,F%-------------,obj,,,,,-0.0624420632540336,B-mn
Age,X,F%-------------,flat:foreign,,,,,0.0377195762411513,I-mn
a,CCONJ,J^-------------,cc,,,,,-0.0437252334471285,O
The,X,F%-------------,conj,,,,,-0.1017196980556635,B-mn
Sydney,X,F%-------------,flat:foreign,,,,,0.0812924514311346,I-mn|B-gu
Morning,X,F%-------------,flat:foreign,,,,,-0.0443085824337744,I-mn
Herald,X,F%-------------,flat:foreign,,,,,-0.0713129655690293,I-mn
",",PUNCT,Z:-------------,punct,,,,,0.0710481817653541,O
že,SCONJ,"J,-------------",mark,,,,,0.0161505775142657,O
Gabba,PROPN,NNFS1-----A----,nsubj,Nom,Fem,Sing,,0.0095141242460399,B-ic
je,AUX,VB-S---3P-AAI--,cop,,,Sing,,-0.1015870653339189,O
jediným,ADJ,AAIS7----1A----,amod,Ins,Masc,Sing,Inan,-0.0618815063161884,O
velkým,ADJ,AAIS7----1A----,amod,Ins,Masc,Sing,Inan,-0.0249163599195022,O
stadionem,NOUN,NNIS7-----A----,ccomp,Ins,Masc,Sing,Inan,-0.0666912124035131,O
v,ADP,RR--6----------,case,Loc,,,,0.0551921172772376,O
australském,ADJ,AAIS6----1A----,amod,Loc,Masc,Sing,Inan,-0.0119490201729185,O
kriketu,NOUN,NNIS6-----A----,nmod,Loc,Masc,Sing,Inan,0.0558619253515812,O
",",PUNCT,Z:-------------,punct,,,,,0.1124949184361368,O
kde,ADV,Db-------------,advmod,,,,,0.0035052912955453,O
