word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Doprava,NOUN,NNFS1-----A----,nsubj,Nom,Fem,Sing,,-0.2201256351412484,O
je,AUX,VB-S---3P-AAI--,cop,,,Sing,,0.1518938253027333,O
vždy,ADV,Db-------------,advmod,,,,,0.079520560550643,O
problém,NOUN,NNIS1-----A----,root,Nom,Masc,Sing,Inan,0.0851283749668923,O
a,CCONJ,J^-------------,cc,,,,,0.1540352232907707,O
je,AUX,VB-S---3P-AAI--,cop,,,Sing,,-0.2341222311329473,O
vždy,ADV,Db-------------,advmod,,,,,-0.2309643646504716,O
drahá,ADJ,AAFS1----1A----,conj,Nom,Fem,Sing,,0.2631643710860726,O
.,PUNCT,Z:-------------,punct,,,,,-0.7817142731704632,O
V,ADP,RR--6----------,case,Loc,,,,-0.0050527320225346,O
případě,NOUN,NNIS6-----A----,obl,Loc,Masc,Sing,Inan,-0.0198848567802231,O
skrytého,ADJ,AAIS2----1A----,amod,Gen,Masc,Sing,Inan,0.0259368782870102,O
omikronu“,NOUN,F%-------------,obl,,,,,0.225514190777509,O
se,PRON,P7-X4----------,expl:pass,Acc,,,,-0.082181540728295,O
potvrdila,VERB,VpQW----R-AAP--,root,,"Fem,Neut","Plur,Sing",,0.1234095630646551,O
pozitivita,NOUN,NNFS1-----A----,nsubj:pass,Nom,Fem,Sing,,0.0906868691294619,O
genů,NOUN,NNIP2-----A----,nmod,Gen,Masc,Plur,Inan,0.10062441548097,O
N,NOUN,Q3-------------,nmod,,,,,-0.0002421153602287,B-o_
i,CCONJ,J^-------------,cc,,,,,0.0483364596911891,O
S,NOUN,Q3-------------,conj,,,,,0.0153866803667032,B-o_
",",PUNCT,Z:-------------,punct,,,,,0.9276289919746028,O
což,PRON,PQ--1----------,nsubj,Nom,,,,0.0685646693608158,O
ztěžuje,VERB,VB-S---3P-AAI--,conj,,,Sing,,0.1022353600149987,O
odlišení,NOUN,NNNS4-----A----,obj,Acc,Neut,Sing,,0.059584445288385,O
od,ADP,RR--2----------,case,Gen,,,,0.0194871113595707,O
ostatních,ADJ,AAFP2----1A----,amod,Gen,Fem,Plur,,0.0402472137931061,O
variant,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,0.0218133191665294,O
.,PUNCT,Z:-------------,punct,,,,,-0.0459296042764834,O
Pokud,SCONJ,"J,-------------",mark,,,,,0.0094325265380119,O
máte,VERB,VB-P---2P-AAI--,advcl,,,Plur,,-0.263881289001532,O
i,CCONJ,J^-------------,advmod:emph,,,,,-0.07571389940381,O
po,ADP,RR--6----------,case,Loc,,,,0.0585120683486075,O
provedení,NOUN,NNNS6-----A----,obl,Loc,Neut,Sing,,0.0358776218520841,O
synchronizace,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.1166110953187951,O
problémy,NOUN,NNIP4-----A----,obj,Acc,Masc,Plur,Inan,0.1391485544999018,O
s,ADP,RR--7----------,case,Ins,,,,0.1153412279609917,O
otevřením,NOUN,NNNS7-----A----,nmod,Ins,Neut,Sing,,0.1089769947661837,O
knihy,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,-0.0316102528211126,O
ve,ADP,RV--6----------,case,Loc,,,,0.0515355357720096,O
vaší,DET,PSFS6-P2-------,det,Loc,Fem,Sing,,-0.0073793316281351,O
čtečce,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,0.2334522012015414,O
",",PUNCT,Z:-------------,punct,,,,,0.8115435312337068,O
zkusíme,VERB,VB-P---1P-AAP--,root,,,Plur,,0.0813537607115333,O
potíže,NOUN,NNFP4-----A----,obj,Acc,Fem,Plur,,0.0629731212030682,O
odstranit,VERB,Vf--------A-P--,xcomp,,,,,0.0589597246412242,O
.,PUNCT,Z:-------------,punct,,,,,0.1537243034065199,O
Zákon,NOUN,NNIS1-----A----,nsubj:pass,Nom,Masc,Sing,Inan,0.1340684807176568,O
byl,AUX,VpYS----R-AAI--,aux:pass,,Masc,Sing,,0.0763880556461211,O
přijat,ADJ,VsYS----X-APP--,root,,Masc,Sing,,-0.0431418723149138,O
dvoutřetinovou,ADJ,AAFS7----1A----,amod,Ins,Fem,Sing,,0.0571303647209077,O
většinou,NOUN,NNFS7-----A----,obl,Ins,Fem,Sing,,-0.417559446062611,O
