word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Мне,PRON,,iobj,Dat,,Sing,,0.1419139180743352,NONE
никогда,ADV,,advmod,,,,,-0.1175636200969313,NONE
не,PART,,advmod,,,,,0.0088768493943142,NONE
приходилось,VERB,,root,,Neut,Sing,,-0.0442199284091027,NONE
делать,VERB,,csubj,,,,,0.1214313706204233,NONE
ничего,PRON,,obj,Gen,Neut,Sing,Inan,-0.1182215850175646,NONE
из,ADP,,mark,,,,,-0.0480218590731994,NONE
перечисленного,VERB,,acl,Gen,Neut,Sing,,-0.0214152490511298,NONE
ниже,ADV,,advmod,,,,,-0.0304640596652773,NONE
",",PUNCT,,punct,,,,,0.0301920424359003,NONE
но,CCONJ,,cc,,,,,0.064402205884369,NONE
мне,PRON,,iobj,Dat,,Sing,,0.030484431894926,NONE
приходилось,VERB,,conj,,Neut,Sing,,-0.046714112332071,NONE
не,PART,,advmod,,,,,-0.0269845658319725,NONE
записывать,VERB,,csubj,,,,,-0.0045963125608813,NONE
в,ADP,,case,,,,,0.0232880124717086,NONE
каталоги,NOUN,,obl,Acc,Masc,Plur,Inan,0.0751923467561173,NONE
членов,NOUN,,nmod,Gen,Masc,Plur,Anim,0.0987739016902598,NONE
персонала,NOUN,,nmod,Gen,Masc,Sing,Inan,0.2186498685824609,NONE
и,CCONJ,,cc,,,,,0.0208442754976144,NONE
учить,VERB,,conj,,,,,-0.0486180264798236,NONE
администраторов,NOUN,,obj,Acc,Masc,Plur,Anim,0.1517655169083297,NONE
делать,VERB,,xcomp,,,,,0.0608253759884524,NONE
вид,NOUN,,obj,Acc,Masc,Sing,Inan,0.1608504832234333,NONE
",",PUNCT,,punct,,,,,0.1779546287075233,NONE
что,SCONJ,,mark,,,,,-0.0076100564981474,NONE
они,PRON,,nsubj,Nom,,Plur,,-0.0192931887773811,NONE
не,PART,,advmod,,,,,0.0691577122303393,NONE
знают,VERB,,acl,,,Plur,,0.0341290439457035,NONE
",",PUNCT,,punct,,,,,0.0665984964553462,NONE
кто,PRON,,ccomp,Nom,Masc,Sing,Anim,0.0919947271352158,NONE
это,PRON,,nsubj,Nom,Neut,Sing,Inan,0.0623397424709835,NONE
такой,DET,,det,Nom,Masc,Sing,,0.1883382970349005,NONE
",",PUNCT,,punct,,,,,0.0288353115497537,NONE
и,CCONJ,,cc,,,,,0.0782219558549151,NONE
как,ADV,,advmod,,,,,0.0562782894031444,NONE
выявить,VERB,,conj,,,,,0.0443575013099995,NONE
агрессора,NOUN,,obj,Acc,Masc,Sing,Anim,0.1905718737047287,NONE
",",PUNCT,,punct,,,,,0.0444295344721283,NONE
если,SCONJ,,mark,,,,,0.1883537756193696,NONE
он,PRON,,nsubj,Nom,Masc,Sing,,0.1805981858519498,NONE
придет,VERB,,advcl,,,Sing,,0.0180734588615581,NONE
.,PUNCT,,punct,,,,,-0.6793253055642052,NONE
Теперь,ADV,,advmod,,,,,-0.2220350238456881,NONE
Шарф,PROPN,,nsubj,Nom,Masc,Sing,Anim,0.3883406759855512,PER
стал,VERB,,root,,Masc,Sing,,-0.0140790792459583,NONE
первым,ADJ,,amod,Ins,Masc,Sing,,-0.0091725304168335,NONE
протеже,NOUN,,obl,Ins,Masc,Sing,Anim,-0.0073984908167482,NONE
Даймона,PROPN,,nmod,Gen,Masc,Sing,Anim,0.0475216145231772,PER
",",PUNCT,,punct,,,,,0.1943850451267748,NONE
возглавившим,VERB,,acl,Ins,Masc,Sing,,0.1723223829401453,NONE
прямого,ADJ,,amod,Acc,Masc,Sing,Anim,0.0385329865753612,NONE
конкурента,NOUN,,obj,Acc,Masc,Sing,Anim,0.0752429111543013,NONE
J,PROPN,,appos,,,,,-0.1116616176755109,ORG
.,PUNCT,,punct,,,,,-0.2446662236818058,ORG
P,PROPN,,flat:foreign,,,,,0.039008049485417,ORG
.,PUNCT,,punct,,,,,-0.3099533450033274,ORG
Morgan,PROPN,,flat:foreign,,,,,0.271851454861283,ORG
Chase,PROPN,,flat:foreign,,,,,0.0763622629927744,ORG
—,PUNCT,,punct,,,,,-0.0870962174508569,NONE
американского,ADJ,,amod,Gen,Masc,Sing,,0.0575565130650173,NONE
гиганта,NOUN,,parataxis,Gen,Masc,Sing,Anim,0.0941468822923868,NONE
финансовых,ADJ,,amod,Gen,,Plur,,0.0448180753466833,NONE
услуг,NOUN,,nmod,Gen,Fem,Plur,Inan,-0.0812453902872799,NONE
и,CCONJ,,cc,,,,,0.0071905016102838,NONE
самого,ADJ,,amod,Gen,Masc,Sing,,0.0532815165402926,NONE
дорогостоящего,ADJ,,amod,Gen,Masc,Sing,,0.1031492749267274,NONE
банка,NOUN,,conj,Gen,Masc,Sing,Inan,0.0708410011984722,NONE
в,ADP,,case,,,,,-0.0232954990959097,NONE
