word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Ltd,X,,root,,,,,0.0422887610772902,NONE
Пожизненная,ADJ,,amod,Nom,Fem,Sing,,0.2970648469566841,NONE
гарантия,NOUN,,nsubj,Nom,Fem,Sing,Inan,0.1803333610628711,NONE
",",PUNCT,,punct,,,,,-0.0601569293020826,NONE
2,NUM,,nummod,,,,,-0.4568778249615007,NONE
года,NOUN,,conj,Gen,Masc,Sing,Inan,-0.215371992660331,NONE
для,ADP,,case,,,,,-0.0606751804005198,NONE
применений,NOUN,,nmod,Gen,Neut,Plur,Inan,0.0421486233819411,NONE
",",PUNCT,,punct,,,,,0.0703720591236866,NONE
связанных,VERB,,acl,Gen,,Plur,,0.0610889618231547,NONE
с,ADP,,case,,,,,0.2173495287682331,NONE
топливом,NOUN,,obl,Ins,Neut,Sing,Inan,0.327365593353727,NONE
.,PUNCT,,punct,,,,,-0.5349780308729838,NONE
Некоторые,DET,,det,Nom,,Plur,,-0.8184291381112005,NONE
инвесторы,NOUN,,nsubj,Nom,Masc,Plur,Anim,0.0309590053061273,NONE
заявили,VERB,,root,,,Plur,,0.0607267863151865,NONE
",",PUNCT,,punct,,,,,0.0773160274746586,NONE
что,SCONJ,,mark,,,,,0.3147886040643946,NONE
капитальный,ADJ,,amod,Nom,Masc,Sing,,0.0668484738724302,NONE
ремонт,NOUN,,nsubj,Nom,Masc,Sing,Inan,-0.119472605160472,NONE
банка,NOUN,,nmod,Gen,Masc,Sing,Inan,0.1984539213260305,NONE
не,PART,,advmod,,,,,0.1717245286244152,NONE
зашел,VERB,,ccomp,,Masc,Sing,,0.0259941056383612,NONE
достаточно,ADV,,advmod,,,,,0.0748360318830521,NONE
далеко,ADV,,advmod,,,,,0.0857508585082452,NONE
.,PUNCT,,punct,,,,,-0.1062265671303868,NONE
Ну,PART,,parataxis,,,,,-0.0855369353123301,NONE
",",PUNCT,,punct,,,,,0.0090987494659226,NONE
эта,DET,,det,Nom,Fem,Sing,,0.0524784137909845,NONE
собака,NOUN,,nsubj,Nom,Fem,Sing,Anim,-0.0399730087986434,NONE
рычит,VERB,,root,,,Sing,,0.0818695211267791,NONE
и,CCONJ,,cc,,,,,-0.0461970574363101,NONE
лает,VERB,,conj,,,Sing,,0.0447819235459955,NONE
и,CCONJ,,cc,,,,,0.0831885285719786,NONE
пытается,VERB,,conj,,,Sing,,0.0279804377958499,NONE
укусить,VERB,,xcomp,,,,,0.0857318996615466,NONE
меня,PRON,,obj,Acc,,Sing,,0.0739590333020343,NONE
через,ADP,,case,,,,,0.045324266116627,NONE
забор,NOUN,,obl,Acc,Masc,Sing,Inan,-0.0325832551202194,NONE
все,DET,,det,Acc,Neut,Sing,,0.0092962758581578,NONE
время,NOUN,,obl:tmod,Acc,Neut,Sing,Inan,0.1718309620672135,NONE
",",PUNCT,,punct,,,,,-0.7039240958226671,NONE
пока,SCONJ,,mark,,,,,-0.0634185569330876,NONE
я,PRON,,nsubj,Nom,,Sing,,-0.0195476191790175,NONE
нахожусь,VERB,,advcl,,,Sing,,0.0009855687506825,NONE
на,ADP,,case,,,,,-0.0761901081181373,NONE
заднем,ADJ,,amod,Loc,Masc,Sing,,-0.0546547454059196,NONE
дворе,NOUN,,obl,Loc,Masc,Sing,Inan,0.0932484533233093,NONE
.,PUNCT,,punct,,,,,0.1642265230620372,NONE
Поскольку,SCONJ,,mark,,,,,-0.4129264575751952,NONE
рынок,NOUN,,nsubj,Nom,Masc,Sing,Inan,0.5694010447207987,NONE
Сиднея,PROPN,,nmod,Gen,Masc,Sing,Inan,0.0354317298519862,LOC
столкнулся,VERB,,advcl,,Masc,Sing,,0.0573601820051929,NONE
с,ADP,,case,,,,,-0.1274466842226553,NONE
дефицитом,NOUN,,obl,Ins,Masc,Sing,Inan,-0.0115082633725201,NONE
запасов,NOUN,,nmod,Gen,Masc,Plur,Inan,0.0163091820781122,NONE
",",PUNCT,,punct,,,,,0.1889342999658153,NONE
мистер,NOUN,,nsubj,Nom,Masc,Sing,Anim,0.0054329169862387,NONE
Панос,PROPN,,appos,Nom,Masc,Sing,Anim,0.0375135410278373,PER
сказал,VERB,,root,,Masc,Sing,,-0.1296363854008094,NONE
",",PUNCT,,punct,,,,,0.2668995138015518,NONE
что,SCONJ,,mark,,,,,-0.1984580314371901,NONE
охотникам,NOUN,,iobj,Dat,Masc,Plur,Anim,0.0451483135573002,NONE
за,ADP,,case,,,,,-0.0982056994201159,NONE
домами,NOUN,,nmod,Ins,Masc,Plur,Inan,0.0194894854652951,NONE
нужно,ADJ,,ccomp,,Neut,Sing,,-0.2898378688867101,NONE
быть,AUX,,cop,,,,,-0.0265909578177721,NONE
терпеливыми,ADJ,,csubj,Ins,,Plur,,0.004636765994493,NONE
.,PUNCT,,punct,,,,,0.3060888677492294,NONE
ух,INTJ,,parataxis,,,,,0.5254562306340721,NONE
!,PUNCT,,punct,,,,,0.1719722186183466,NONE
СМИ,NOUN,,nsubj,Nom,Neut,Plur,Inan,0.0301083096909264,ORG
отказались,VERB,,root,,,Plur,,0.1100697404369878,NONE
от,ADP,,case,,,,,0.0460940734204388,NONE
комментариев,NOUN,,obl,Gen,Masc,Plur,Inan,0.079475745879315,NONE
",",PUNCT,,punct,,,,,0.2574971800697985,NONE
но,CCONJ,,cc,,,,,-0.0319177307946024,NONE
на,ADP,,case,,,,,-0.1080651353655185,NONE
конференции,NOUN,,obl,Loc,Fem,Sing,Inan,-0.0517026900917887,NONE
Macquarie,PROPN,,flat:foreign,,,,,0.0179751192424638,ORG
Australia,PROPN,,flat:foreign,,,,,0.0124769342232417,ORG
в,ADP,,case,,,,,0.2410292278122314,NONE
мае,NOUN,,obl,Loc,Masc,Sing,Inan,0.004987316017431,NONE
они,PRON,,nsubj,Nom,,Plur,,0.1298988583443199,NONE
отметили,VERB,,conj,,,Plur,,0.052300237651127,NONE
более,ADV,,advmod,,,,,-0.0321395615057819,NONE
20,NUM,,nummod,,,,,0.0964828616639522,NONE
миллионов,NOUN,,nummod,Gen,Masc,Plur,Inan,0.1072611373095354,NONE
долларов,NOUN,,obl,Gen,Masc,Plur,Inan,0.0108711460917561,NONE
экономии,NOUN,,nmod,Gen,Fem,Sing,Inan,0.2556385199669353,NONE
фиксированных,VERB,,amod,Gen,,Plur,,0.083354555094821,NONE
расходов,NOUN,,nmod,Gen,Masc,Plur,Inan,0.1377144068193146,NONE
на,ADP,,case,,,,,0.00833564075452,NONE
аренду,NOUN,,nmod,Acc,Fem,Sing,Inan,-0.0045426791678711,NONE
.,PUNCT,,punct,,,,,0.540698104590219,NONE
Сибсагар,NOUN,,nsubj,Nom,Masc,Sing,Anim,0.137795994885923,PER
MLA,PROPN,,flat:foreign,,,,,0.1015817884073548,NONE
Ахил,PROPN,,appos,Nom,Masc,Sing,Anim,0.1092812744377406,PER
Гогой,PROPN,,flat:name,Nom,Masc,Sing,Anim,0.2237368132609535,PER
",",PUNCT,,punct,,,,,0.1725163008689889,NONE
который,PRON,,nsubj,Nom,,,,0.0056860016405621,NONE
был,AUX,,cop,,Masc,Sing,,-0.0470223351414173,NONE
