word,upos,xpos,deprel,case,gender,number,animacy,score,ner
I,CCONJ,J^-------------,mark,,,,,0.1045035482398224,O
když,SCONJ,"J,-------------",fixed,,,,,0.3045591895552063,O
pevně,ADV,Dg-------1A----,advmod,,,,,0.053304772588931,O
věřím,VERB,VB-S---1P-AAI--,advcl,,,Sing,,-0.0573789049716563,O
v,ADP,RR--4----------,case,Acc,,,,-0.0455441426155899,O
hodnotu,NOUN,NNFS4-----A----,obl:arg,Acc,Fem,Sing,,-0.0550074664688553,O
toho,DET,PDZS2----------,amod,Gen,"Masc,Neut",Sing,,-0.1097240660105997,O
",",PUNCT,Z:-------------,punct,,,,,0.2342010929379412,O
že,SCONJ,"J,-------------",mark,,,,,0.0825327114480551,O
si,PRON,P7--3----------,obl,Dat,,,,0.0596775011574653,O
věci,NOUN,NNFP4-----A----,obj,Acc,Fem,Plur,,0.1195796803006364,O
vyzkoušíte,VERB,VB-P---2P-AAP--,acl,,,Plur,,0.0997005236759573,O
sami,DET,PLMP1----------,xcomp,Nom,Masc,Plur,Anim,0.0875447763514277,O
",",PUNCT,Z:-------------,punct,,,,,0.1957283368273172,O
pokud,SCONJ,"J,-------------",mark,,,,,0.0282481225830718,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.0536539476622911,O
nechcete,VERB,VB-P---2P-NAI--,advcl,,,Plur,,0.0918231781105114,O
učit,VERB,Vf--------A-I--,xcomp,,,,,-0.0260004280816078,O
po,ADP,RR--6----------,case,Loc,,,,0.1111329277234937,O
zlém,ADJ,AANS6----1A----,obl,Loc,Neut,Sing,,-0.0215572020827676,O
",",PUNCT,Z:-------------,punct,,,,,0.1935605130070892,O
tady,ADV,Db-------------,advmod,,,,,-0.0926138669658252,O
jsou,AUX,VB-P---3P-AAI--,root,,,Plur,,-0.5350459168257743,O
jedny,ADJ,AAIP1----1A----,nsubj,Nom,Masc,Plur,Inan,0.0647514228843698,O
z,ADP,RR--2----------,case,Gen,,,,-0.00972060392005,O
nejběžnějších,ADJ,AAIP2----3A----,amod,Gen,Masc,Plur,Inan,0.0996751086823125,O
zahradnických,ADJ,AAIP2----1A----,amod,Gen,Masc,Plur,Inan,0.0821045460953502,O
triků,NOUN,NNIP2-----A----,nmod,Gen,Masc,Plur,Inan,0.0145296253553824,O
",",PUNCT,Z:-------------,punct,,,,,0.124089839926095,O
na,ADP,RR--4----------,case,Acc,,,,0.0003306527688654,O
které,DET,P4YP4----------,obl:arg,Acc,Masc,Plur,,-0.2469897301265931,O
jsem,AUX,VB-S---1P-AAI--,aux,,,Sing,,-0.2220581079006879,O
narazil,VERB,VpYS----R-AAP--,acl:relcl,,Masc,Sing,,0.0083249156653746,O
.,PUNCT,Z:-------------,punct,,,,,0.2096963856193512,O
Zákon,NOUN,NNIS1-----A----,nsubj,Nom,Masc,Sing,Inan,0.0832404106607464,O
by,AUX,Vc----------I--,aux,,,,,0.1120680454316262,O
pozměnil,VERB,VpYS----R-AAP--,root,,Masc,Sing,,0.0495853131757138,O
zákon,NOUN,NNIS4-----A----,obj,Acc,Masc,Sing,Inan,-0.0084550905778769,O
o,ADP,RR--6----------,case,Loc,,,,-0.0806985282956866,O
občanských,ADJ,AANP6----1A----,amod,Loc,Neut,Plur,,-0.0417806583837998,O
právech,NOUN,NNNP6-----A----,nmod,Loc,Neut,Plur,,0.0139791629994741,O
z,ADP,RR--2----------,case,Gen,,,,-0.0871039600612704,O
roku,NOUN,NNIS2-----A---1,nmod,Gen,Masc,Sing,Inan,-0.0576082473947241,O
1964,NUM,C=-------------,nummod,,,,,-0.2006188956926404,B-ty
tak,ADV,Db-------------,advmod,,,,,0.0742518724291534,O
",",PUNCT,Z:-------------,punct,,,,,0.2084840860989156,O
aby,AUX,Vc-------------,aux,,,,,0.0529743269899616,O
zahrnoval,VERB,VpYS----R-AAI--,advcl,,Masc,Sing,,0.0410897314766319,O
sexuální,ADJ,AAFS4----1A----,amod,Acc,Fem,Sing,,0.0038699450225474,O
orientaci,NOUN,NNFS4-----A----,obj,Acc,Fem,Sing,,0.1831473540880866,O
a,CCONJ,J^-------------,cc,,,,,-0.271975837794063,O
genderovou,ADJ,AAFS4----1A----,amod,Acc,Fem,Sing,,0.016034655324979,O
identitu,NOUN,NNFS4-----A----,conj,Acc,Fem,Sing,,0.0064696841600407,O
do,ADP,RR--2----------,case,Gen,,,,-0.070399121426912,O
seznamu,NOUN,NNIS2-----A----,obl,Gen,Masc,Sing,Inan,0.1618460307042961,O
již,ADV,Db-------------,advmod,,,,,0.1351995228946334,O
chráněných,ADJ,AAFP2----1A----,amod,Gen,Fem,Plur,,0.4312104854591657,O
tříd,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,-0.3758590493564881,O
.,PUNCT,Z:-------------,punct,,,,,0.4846681010448282,O
Včera,ADV,Db-------------,advmod,,,,,-0.1039774697220143,O
společnost,NOUN,NNFS1-----A----,nsubj,Nom,Fem,Sing,,0.1258332388661658,O
CoinMarket,X,F%-------------,flat:foreign,,,,,0.0223344795125459,B-if
Cap,X,F%-------------,flat:foreign,,,,,-0.1393155376218672,I-if
umístila,VERB,VpQW----R-AAP--,root,,"Fem,Neut","Plur,Sing",,0.0427012186179355,O
na,ADP,RR--4----------,case,Acc,,,,0.1999777489014524,O
stránku,NOUN,NNFS4-----A----,obl,Acc,Fem,Sing,,-0.13166432701098,O
