word,upos,xpos,deprel,case,gender,number,animacy,score,ner
Děj,NOUN,NNIS1-----A----,nsubj,Nom,Masc,Sing,Inan,0.0284284821574129,O
seriálu,NOUN,NNIS2-----A----,nmod,Gen,Masc,Sing,Inan,0.004308276247598,O
je,AUX,VB-S---3P-AAI--,cop,,,Sing,,-0.0015611620174066,O
zasazen,ADJ,VsYS----X-APP--,root,,Masc,Sing,,-0.0275376569973548,O
do,ADP,RR--2----------,case,Gen,,,,-0.0220043540331136,O
New,X,F%-------------,nmod,,,,,0.0676859178264014,B-gu
Yorku,PROPN,NNIS2-----A----,obl,Gen,Masc,Sing,Inan,-0.0355265415105377,I-gu
v,ADP,RR--6----------,case,Loc,,,,0.0878570482032728,O
80,NUM,C=-------------,nummod,,,,,0.1488257207405948,B-no
.,PUNCT,Z:-------------,punct,,,,,0.080174086479791,I-no
letech,NOUN,NNNP6-----A----,obl,Loc,Neut,Plur,,-0.1679299496978045,O
19,NUM,C=-------------,nummod,,,,,0.1691013736420659,B-no
.,PUNCT,Z:-------------,punct,,,,,0.0668432658644394,I-no
století,NOUN,NNNS2-----A----,nmod,Gen,Neut,Sing,,-0.1538493051761211,O
a,CCONJ,J^-------------,cc,,,,,0.1467657804502153,O
sleduje,VERB,VB-S---3P-AAI--,conj,,,Sing,,0.1099080272294171,O
osudy,NOUN,NNIP4-----A----,obj,Acc,Masc,Plur,Inan,-0.0703409657848255,O
Marian,PROPN,NNFXX-----A----,nmod,,Fem,,,0.0697970825642024,B-P|B-pf
Brookové,PROPN,NNFS2-----A----,flat,Gen,Fem,Sing,,-0.039026264665312,I-P|B-ps
(,PUNCT,Z:-------------,punct,,,,,0.0907648929253485,O
Louisa,PROPN,NNFS1-----A----,dep,Nom,Fem,Sing,,-0.0125626157576306,B-P|B-pf
Jacobson,PROPN,NNFXX-----A----,flat,,Fem,,,-0.0147951076122131,I-P|B-ps
",",PUNCT,Z:-------------,punct,,,,,0.0810290583454838,O
vlevo,ADV,Db-------------,dep,,,,,0.1347296096530212,O
),PUNCT,Z:-------------,punct,,,,,0.0888295627025035,O
a,CCONJ,J^-------------,cc,,,,,0.1314554269055658,O
začínající,ADJ,AGFS2-----A----,amod,Gen,Fem,Sing,,0.1818796572656412,O
spisovatelky,NOUN,NNFS2-----A----,conj,Gen,Fem,Sing,,0.0945809624214594,O
Peggy,PROPN,NNFXX-----A----,flat,,Fem,,,0.1081524011255603,B-P|B-pf
Scottové,PROPN,NNFS2-----A----,flat,Gen,Fem,Sing,,0.0798943178206608,I-P|B-ps
(,PUNCT,Z:-------------,punct,,,,,0.1521040510903251,O
Denée,PROPN,NNFXX-----A----,dep,,Fem,,,0.2093184463202162,B-P|B-pf
Benton,PROPN,NNMS1-----A----,flat,,Fem,,,-0.0114332737224169,I-P|B-ps
",",PUNCT,Z:-------------,punct,,,,,0.1930981963029116,O
vpravo,ADV,Db-------------,dep,,,,,0.0616335046996592,O
),PUNCT,Z:-------------,punct,,,,,0.070443578794877,O
",",PUNCT,Z:-------------,punct,,,,,0.1795167091403873,O
které,DET,P4FP1----------,nsubj,Nom,Fem,Plur,,-0.0559626386847835,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.3042690134562387,O
střetávají,VERB,VB-P---3P-AAI--,acl:relcl,,,Plur,,0.1116143250429072,O
s,ADP,RR--7----------,case,Ins,,,,0.0191865308606915,O
bohatými,ADJ,AAMP7----1A----,amod,Ins,Masc,Plur,Anim,0.0897467050901878,O
starousedlíky,NOUN,NNMP7-----A----,obl:arg,Ins,Masc,Plur,Anim,0.1139238625929059,O
.,PUNCT,Z:-------------,punct,,,,,0.1263635160346748,O
Park,NOUN,NNIS1-----A----,nsubj,Nom,Masc,Sing,Inan,0.0661503358104223,O
o,ADP,RR--6----------,case,Loc,,,,0.2857741122783224,O
rozloze,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,-0.0358733258024129,O
550,NUM,C=-------------,nummod:gov,,,,,-0.0160681108864973,B-nc
akrů,NOUN,NNIP2-----A----,nmod,Gen,Masc,Plur,Inan,-0.1213365722801525,O
(,PUNCT,Z:-------------,punct,,,,,-0.050990131896487,O
220,NUM,C=-------------,appos,,,,,-0.0661858520256543,B-nc
ha,NOUN,NNIXX-----A---b,nmod,,Masc,,Inan,0.060026659630033,B-oe
),PUNCT,Z:-------------,punct,,,,,-0.0784700619595357,O
",",PUNCT,Z:-------------,punct,,,,,-0.0990075581190123,O
který,DET,P4YS1----------,nsubj,Nom,Masc,Sing,,-0.0358154411602282,O
nabízí,VERB,VB-S---3P-AAI--,acl:relcl,,,Sing,,0.1174374761113274,O
domov,NOUN,NNIS4-----A----,obj,Acc,Masc,Sing,Inan,0.0671054729974286,O
lvům,NOUN,NNMP3-----A----,obl:arg,Dat,Masc,Plur,Anim,-0.1001334344606509,O
",",PUNCT,Z:-------------,punct,,,,,-0.1765952176200728,O
tygrům,NOUN,NNMP3-----A----,conj,Dat,Masc,Plur,Anim,0.0012533454945198,O
",",PUNCT,Z:-------------,punct,,,,,-0.2329770412209174,O
pakoňům,NOUN,NNMP3-----A----,conj,Dat,Masc,Plur,Anim,0.1259993388186716,O
či,CCONJ,J^-------------,cc,,,,,-0.318723220997695,O
velbloudům,NOUN,NNMP3-----A----,conj,Dat,Masc,Plur,Anim,0.0227149944956387,O
",",PUNCT,Z:-------------,punct,,,,,-0.0755954644121029,O
odmítl,VERB,VpYS----R-AAP-1,root,,Masc,Sing,,0.1572877327542451,O
zprávy,NOUN,NNFP4-----A----,obj,Acc,Fem,Plur,,0.1726381126995766,O
o,ADP,RR--6----------,case,Loc,,,,0.1156604089804395,O
ozbrojených,ADJ,AAFP6----1A----,amod,Loc,Fem,Plur,,0.0965673935351823,O
opicích,NOUN,NNFP6-----A----,nmod,Loc,Fem,Plur,,0.1370392098699261,O
jako,SCONJ,"J,-------------",mark,,,,,-0.1312054877661146,O
nepodložené,ADJ,AAFP4----1N----,amod,Acc,Fem,Plur,,0.1328708867940161,O
historky,NOUN,NNFP4-----A----,xcomp,Acc,Fem,Plur,,0.0925773789120157,O
.,PUNCT,Z:-------------,punct,,,,,-0.4315325545396236,O
Nové,ADJ,AAFP1----1A----,amod,Nom,Fem,Plur,,-0.0987606768451964,O
statistiky,NOUN,NNFP1-----A----,nsubj,Nom,Fem,Plur,,0.238253217575172,O
pravděpodobně,ADV,Dg-------1A----,advmod,,,,,-0.0277014856733703,O
vženou,VERB,VB-P---3P-AAP--,root,,,Plur,,0.0770751944903281,O
vítr,NOUN,NNIS4-----A----,obj,Acc,Masc,Sing,Inan,0.0230560533023769,O
do,ADP,RR--2----------,case,Gen,,,,0.1563757599194813,O
plachet,NOUN,NNFP2-----A----,obl,Gen,Fem,Plur,,0.2222153670252289,O
pokrokovým,ADJ,AAMP3----1A----,amod,Dat,Masc,Plur,Anim,0.1218721657238333,O
demokratickým,ADJ,AAMP3----1A----,amod,Dat,Masc,Plur,Anim,0.0380365911460804,O
uchazečům,NOUN,NNMP3-----A----,obl:arg,Dat,Masc,Plur,Anim,0.1757214431304543,O
o,ADP,RR--4----------,case,Acc,,,,-0.0110481746540375,O
nominování,NOUN,NNNS4-----A----,nmod,Acc,Neut,Sing,,0.1348229311092267,O
strany,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.0730636730710848,O
na,ADP,RR--4----------,case,Acc,,,,0.1315584412672135,O
prezidentské,ADJ,AAFP4----1A----,amod,Acc,Fem,Plur,,0.0583411308437146,O
volby,NOUN,NNFP4-----A----,nmod,Acc,Fem,Plur,,0.0748240067204991,O
v,ADP,RR--6----------,case,Loc,,,,0.1892034111972672,O
příštím,ADJ,AAIS6----1A----,amod,Loc,Masc,Sing,Inan,0.0256934726319124,O
roce,NOUN,NNIS6-----A---1,nmod,Loc,Masc,Sing,Inan,0.0266010966336356,O
",",PUNCT,Z:-------------,punct,,,,,0.1729262403214554,O
kteří,DET,P4MP1----------,nsubj,Nom,Masc,Plur,Anim,-0.043630126746502,O
požadují,VERB,VB-P---3P-AAI--,acl:relcl,,,Plur,,0.1169189212861617,O
podporu,NOUN,NNFS4-----A----,obj,Acc,Fem,Sing,,0.0973717077357787,O
superbohatých,ADJ,AAMP2----1A----,amod,Gen,Masc,Plur,Anim,0.0277129115716852,O
jednotlivců,NOUN,NNMP2-----A----,nmod,Gen,Masc,Plur,Anim,0.0134907164406641,O
a,CCONJ,J^-------------,cc,,,,,-0.3087324990801176,O
o,ADP,RR--2----------,case,Gen,,,,0.0292191074802636,O
velkých,ADJ,AAFP2----1A----,amod,Gen,Fem,Plur,,0.1209453404261212,O
korporací,NOUN,NNFP2-----A----,conj,Gen,Fem,Plur,,-0.0037403171147583,O
",",PUNCT,Z:-------------,punct,,,,,0.0579761312971891,O
aby,AUX,Vc-------------,aux,,,,,0.2074109621144023,O
zaplatili,VERB,VpMP----R-AAP--,advcl,,Masc,Plur,Anim,-0.0044150075350125,O
více,ADV,Dg-------2A----,obj,,,,,-0.0694920901797392,O
daní,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,-0.0138370143769942,O
.,PUNCT,Z:-------------,punct,,,,,0.1808833446649123,O
Zatímco,SCONJ,"J,-------------",mark,,,,,0.1480534823436873,O
demokraté,NOUN,NNMP1-----A----,nsubj,Nom,Masc,Plur,Anim,0.0114980849652717,O
usilují,VERB,VB-P---3P-AAI--,advcl,,,Plur,,0.0361683199925513,O
o,ADP,RR--4----------,case,Acc,,,,0.0091005542877992,O
čtvrtou,ADJ,CrFS4----------,amod,Acc,Fem,Sing,,0.1169425156354385,O
fázi“,NOUN,NNIS4-----A----,obl:arg,Acc,Masc,Sing,Inan,0.0248226105027475,O
koronavirového,ADJ,AAIS2----1A----,amod,Gen,Masc,Sing,Inan,0.0141483568133746,O
balíčku,NOUN,NNIS2-----A----,nmod,Gen,Masc,Sing,Inan,0.1409676855574317,O
pomoci,VERB,NNFS2-----A----,nmod,,,,,0.0963593357975646,O
",",PUNCT,Z:-------------,punct,,,,,0.3044460130456552,O
aby,AUX,Vc-------------,aux,,,,,0.1203606972940797,O
zachovali,VERB,VpMP----R-AAI--,advcl,,Masc,Plur,Anim,-0.0049850858063843,O
podporu,NOUN,NNFS4-----A----,obj,Acc,Fem,Sing,,-0.1092647641023754,O
v,ADP,RR--6----------,case,Loc,,,,0.1568527830321158,O
nezaměstnanosti,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,0.1107770513978784,O
ve,ADP,RV--6----------,case,Loc,,,,-0.0029064312397419,O
výši,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,-0.0285513276439414,O
600,NUM,C=-------------,nummod:gov,,,,,-0.0060003328182895,B-nc
dolarů,NOUN,NNIP2-----A----,nmod,Gen,Masc,Plur,Inan,0.0164260329677622,O
",",PUNCT,Z:-------------,punct,,,,,0.0726445689073875,O
republikáni,NOUN,NNMP1-----A----,nsubj,Nom,Masc,Plur,Anim,-0.0013491234183107,O
volají,VERB,VB-P---3P-AAI--,root,,,Plur,,-0.0611466900711239,O
po,ADP,RR--6----------,case,Loc,,,,-0.0189425598956911,O
jejím,DET,P9ZS6FS3-------,det,Loc,"Masc,Neut",Sing,,0.007830053389496,O
zkrouhnutí,NOUN,NNNS6-----A----,obl:arg,Loc,Neut,Sing,,0.1872420952064034,O
a,CCONJ,J^-------------,cc,,,,,0.2285663243792051,O
argumentují,VERB,VB-P---3P-AAI--,conj,,,Plur,,0.0659878102689471,O
",",PUNCT,Z:-------------,punct,,,,,0.1177700997787618,O
že,SCONJ,"J,-------------",mark,,,,,-0.0545133657546917,O
někteří,DET,PZMP1----------,det,Nom,Masc,Plur,Anim,0.0870067893628606,O
Američané,PROPN,NNMP1-----A----,nsubj,Nom,Masc,Plur,Anim,0.0299374091577909,B-pc
vydělávají,VERB,VB-P---3P-AAI--,ccomp,,,Plur,,0.1368016429536481,O
na,ADP,RR--6----------,case,Loc,,,,0.1334207948880957,O
podpoře,NOUN,NNFS6-----A----,obl,Loc,Fem,Sing,,0.1612211979204509,O
v,ADP,RR--6----------,case,Loc,,,,0.1314819320779734,O
nezaměstnanosti,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,0.1965348591138983,O
víc,ADV,Dg-------2A---1,obj,,,,,0.1743443062971651,O
",",PUNCT,Z:-------------,punct,,,,,0.2762461701779644,O
než,SCONJ,"J,-------------",mark,,,,,0.1517243829443124,O
když,SCONJ,"J,-------------",mark,,,,,-0.0065525051355369,O
pracovali,VERB,VpMP----R-AAI--,advcl,,Masc,Plur,Anim,0.0729186701926166,O
.,PUNCT,Z:-------------,punct,,,,,0.280853906301983,O
Audio,NOUN,NNNS1-----A----,nmod,Nom,Neut,Sing,,0.0799656080794545,O
vstupy,NOUN,NNIP1-----A----,root,Nom,Masc,Plur,Inan,0.2222312448039912,O
-,PUNCT,Z:-------------,punct,,,,,-0.0239814403868543,O
6,NUM,C=-------------,appos,,,,,0.1134516084707474,B-nc
vyvážených,ADJ,AAIP2----1A----,amod,Gen,Masc,Plur,Inan,-0.1123181982152784,O
nebo,CCONJ,J^-------------,cc,,,,,-0.1192961353927155,O
S,NOUN,Q3-------------,nmod,,,,,-0.0593540075196138,O
/,PUNCT,Z:-------------,punct,,,,,-0.0594756239058644,O
PDIF,NOUN,BNXXX-----A----,nmod,,,,,0.1072841768907364,O
audio,NOUN,NNNS1-----A----,conj,Nom,Neut,Sing,,0.0591587394949586,O
(,PUNCT,Z:-------------,punct,,,,,0.063327610042463,O
každý,DET,AAIS1----1A----,dep,Nom,Masc,Sing,Inan,-0.1011380289479266,O
volitelný,ADJ,AAIS1----1A----,amod,Nom,Masc,Sing,Inan,-0.0241734317478404,O
),PUNCT,Z:-------------,punct,,,,,0.0857480010056009,O
na,ADP,RR--6----------,case,Loc,,,,0.25395611118335,O
svorkovnicích,NOUN,NNFP6-----A----,conj,Loc,Fem,Plur,,0.0460355798277881,O
",",PUNCT,Z:-------------,punct,,,,,0.1045244838222932,O
jeden,NUM,CnYS1----------,conj,Nom,Masc,Sing,,-0.0306875726903813,O
pro,ADP,RR--4----------,case,Acc,,,,0.0487104283649585,O
každé,DET,AAIP4----1A----,det,Acc,Neut,Sing,,-0.2439847077057148,O
2,NUM,C=-------------,nummod,,,,,0.0214230329395869,B-nc
univerzální,ADJ,AAIP4----1A----,amod,Acc,Masc,Plur,Inan,-0.0419183748074255,O
video,ADJ,NNNS4-----A----,amod,Acc,Neut,Sing,,0.1702199121674771,O
vstupy,NOUN,NNIP4-----A----,orphan,Acc,Masc,Plur,Inan,0.0510503019728688,O
a,CCONJ,J^-------------,cc,,,,,-0.0663920708381381,O
4,NUM,C=-------------,nummod,,,,,-0.1035883488561724,B-nc
video,NOUN,NNNS1-----A----,nmod,Nom,Neut,Sing,,0.058727036010468,O
vstupy,NOUN,NNIP4-----A----,conj,Acc,Masc,Plur,Inan,0.0076179883149462,O
počítačové,ADJ,AAFS2----1A----,amod,Gen,Fem,Sing,,-0.0800254313216602,O
grafiky,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.0090222948848798,O
.,PUNCT,Z:-------------,punct,,,,,0.1088168682780629,O
Do,ADP,RR--2----------,case,Gen,,,,0.0209636550809932,O
té,DET,PDFS2----------,det,Gen,Fem,Sing,,0.1335751494274844,O
doby,NOUN,NNFS2-----A----,obl,Gen,Fem,Sing,,0.1054540701626903,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.0783519359153405,O
nejspíš,PART,TT-------------,advmod,,,,,-0.0278482314352559,O
objeví,VERB,VB-S---3P-AAP--,root,,,Sing,,0.2151882518926926,O
další,ADJ,AANS1----1A----,amod,Nom,Neut,Sing,,-0.0691170005775918,O
zainteresované,ADJ,AANS1----1A----,amod,Nom,Neut,Sing,,0.0499221027691876,O
dítě,NOUN,NNNS1-----A----,nsubj,Nom,Neut,Sing,,-0.4504644995565434,O
s,ADP,RR--7----------,case,Ins,,,,0.1496570372504134,O
vášnivými,ADJ,AAIP7----1A----,amod,Ins,Masc,Plur,Inan,0.4040474744228764,O
projevy,NOUN,NNIP7-----A----,nmod,Ins,Masc,Plur,Inan,-0.169799265759124,O
o,ADP,RR--6----------,case,Loc,,,,0.0550022583442093,O
kyselém,ADJ,AAIS6----1A----,amod,Loc,Masc,Sing,Inan,0.0843072457478223,O
dešti,NOUN,NNIS6-----A----,nmod,Loc,Masc,Sing,Inan,0.1730338562099029,O
v,ADP,RR--6----------,case,Loc,,,,-0.0793565697422331,O
koloniích,NOUN,NNFP6-----A----,nmod,Loc,Fem,Plur,,0.2300498998394024,O
na,ADP,RR--6----------,case,Loc,,,,0.0523994651167194,O
Marsu,PROPN,NNIS6-----A----,nmod,Loc,Masc,Sing,Inan,-0.0549182234046171,B-g_
.,PUNCT,Z:-------------,punct,,,,,-0.1455718789207419,O
(,PUNCT,Z:-------------,punct,,,,,0.2734227507751435,O
Upravuji,VERB,VB-S---1P-AAI-1,root,,,Sing,,0.2238262222438586,O
",",PUNCT,Z:-------------,punct,,,,,0.0503365428005125,O
abych,AUX,Vc-S---1-------,aux,,,Sing,,0.1117825561663839,O
řekl,VERB,VpYS----R-AAP--,ccomp,,Masc,Sing,,-0.0831087607694121,O
",",PUNCT,Z:-------------,punct,,,,,-0.0607990520269879,O
že,SCONJ,"J,-------------",mark,,,,,0.0276661417950119,O
jsem,AUX,VB-S---1P-AAI--,aux,,,Sing,,-0.0049622943849257,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.1805790328800691,O
ptal,VERB,VpYS----R-AAI--,ccomp,,Masc,Sing,,0.0653432475053974,O
souseda,NOUN,NNMS2-----A----,obl:arg,Gen,Masc,Sing,Anim,0.4246743118454631,O
alespoň,ADV,Db-------------,advmod:emph,,,,,-0.0414167632119444,O
třikrát,ADV,Cv-------------,obl,,,,,0.0566992470578099,O
",",PUNCT,Z:-------------,punct,,,,,0.0141866480933105,O
abych,AUX,Vc-S---1-------,aux,,,Sing,,0.1554701826562038,O
pomohl,VERB,VpYS----R-AAP--,advcl,,Masc,Sing,,0.0521786364116905,O
jeho,DET,P9XXXZS3-------,det,,,,,0.1117078460338101,O
psovi,NOUN,NNMS3-----A----,obl:arg,Dat,Masc,Sing,Anim,0.1097328886603633,O
),PUNCT,Z:-------------,punct,,,,,-0.0739487439312281,O
.,PUNCT,Z:-------------,punct,,,,,0.70129157830075,O
Násilím,NOUN,NNNS7-----A----,obl,Ins,Neut,Sing,,-0.0848623907832198,O
si,PRON,P7--3----------,obl,Dat,,,,0.0811305364226706,O
vynutil,VERB,VpYS----R-AAP--,ccomp,,Masc,Sing,,-0.0209657699276096,O
vstup,NOUN,NNIS4-----A----,obj,Acc,Masc,Sing,Inan,0.0211758017421217,O
dovnitř,ADV,Db-------------,advmod,,,,,-0.0665910966610037,O
a,CCONJ,J^-------------,cc,,,,,0.0929145048680191,O
svázal,VERB,VpYS----R-AAP--,conj,,Masc,Sing,,-0.0366294607163969,O
Cassidy,PROPN,NNMP4-----A----,obj,Acc,Masc,Plur,Anim,0.0541720584251035,B-pf
",",PUNCT,Z:-------------,punct,,,,,0.2358875813258912,O
uvedli,VERB,VpMP----R-AAP--,root,,Masc,Plur,Anim,0.0158849350391639,O
vyšetřující,ADJ,AGMP1-----A----,amod,Nom,Masc,Plur,Anim,0.0333805210077366,O
úředníci,NOUN,NNMP1-----A----,nsubj,Nom,Masc,Plur,Anim,0.0254629813322793,O
.,PUNCT,Z:-------------,punct,,,,,-0.0145076542284538,O
Když,SCONJ,"J,-------------",mark,,,,,-0.0613316977112302,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.061330323392544,O
zbytek,NOUN,NNIS1-----A----,nsubj,Nom,Masc,Sing,Inan,0.0353973154609909,O
její,DET,P9FXXFS3-------,det,,Fem,,,-0.0076944802871573,O
rodiny,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.0220261474600266,O
o,ADP,RR--4----------,case,Acc,,,,-0.0438271174172012,O
několik,DET,Ca--4----------,det:numgov,Acc,,,,-0.0507782968434538,O
minut,NOUN,NNFP2-----A----,obl,Gen,Fem,Plur,,0.0777822364232333,O
později,ADV,Dg-------2A----,advmod,,,,,-0.076913359568875,O
vrátil,VERB,VpYS----R-AAP--,advcl,,Masc,Sing,,-0.0720292631406326,O
",",PUNCT,Z:-------------,punct,,,,,0.2912567734376374,O
Haskell,PROPN,NNMS1-----A----,nsubj,Nom,Masc,Sing,Anim,-0.0182878647537365,B-ps
je,PRON,PEXP4--3-------,obj,Acc,,Plur,,-0.1094106633811859,O
svázal,VERB,VpYS----R-AAP--,root,,Masc,Sing,,0.0020049581692541,O
a,CCONJ,J^-------------,cc,,,,,0.1289971100569039,O
požadoval,VERB,VpYS----R-AAI--,conj,,Masc,Sing,,0.0873424893649704,O
",",PUNCT,Z:-------------,punct,,,,,0.0824350104642853,O
aby,AUX,Vc-------------,aux,,,,,0.1293286712587759,O
mu,PRON,P5ZS3--3-------,obl:arg,Dat,"Masc,Neut",Sing,,-0.0340357021829597,O
prozradili,VERB,VpMP----R-AAP--,ccomp,,Masc,Plur,Anim,-0.0367393770305498,O
místo,NOUN,NNNS4-----A----,obj,Acc,Neut,Sing,,-0.0714994138161342,O
pobytu,NOUN,NNIS2-----A----,nmod,Gen,Masc,Sing,Inan,0.0222472840405466,O
jeho,DET,P9XXXZS3-------,det,,,,,-0.1184915509289749,O
bývalé,ADJ,AAFS2----1A----,amod,Gen,Fem,Sing,,0.011519299109874,O
manželky,NOUN,NNFS2-----A----,nmod,Gen,Fem,Sing,,0.0237149079236917,O
.,PUNCT,Z:-------------,punct,,,,,0.1234517091625079,O
Řekli,VERB,VpMP----R-AAP--,root,,Masc,Plur,Anim,-0.0832249411503256,O
",",PUNCT,Z:-------------,punct,,,,,0.1552800535872869,O
že,SCONJ,"J,-------------",mark,,,,,0.0302938357792885,O
ho,PRON,P5ZS4--3-------,obj,Acc,"Masc,Neut",Sing,,0.0489115234800546,O
neznají,VERB,VB-P---3P-NAI--,ccomp,,,Plur,,-0.0239049139615426,O
",",PUNCT,Z:-------------,punct,,,,,0.1258396007893646,O
a,CCONJ,J^-------------,cc,,,,,-0.0132038420881943,O
každého,DET,AAMS4----1A----,obj,Acc,Masc,Sing,Anim,-0.0865981040841331,O
z,ADP,RR--2----------,case,Gen,,,,-0.0083638818372449,O
nich,PRON,PEXP2--3-------,nmod,Gen,,Plur,,0.0369147387665651,O
potom,ADV,Db-------------,advmod,,,,,-0.0386252504914525,O
střelil,VERB,VpYS----R-AAP--,conj,,Masc,Sing,,-0.0171620979606413,O
zezadu,ADV,Db-------------,advmod,,,,,0.0229581011889077,O
do,ADP,RR--2----------,case,Gen,,,,0.0476848694688125,O
hlavy,NOUN,NNFS2-----A----,obl,Gen,Fem,Sing,,-0.0159145602828273,O
.,PUNCT,Z:-------------,punct,,,,,0.0469927848030819,O
A,CCONJ,J^-------------,cc,,,,,-0.6211329939427456,O
poselství,NOUN,NNNS1-----A----,nsubj,Nom,Neut,Sing,,0.0840318649735155,O
obou,NUM,CnXP2----------,nummod,Gen,,Plur,,-0.0471334177011306,O
dívek,NOUN,NNFP2-----A----,nmod,Gen,Fem,Plur,,0.0166037126117725,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.085673746010643,O
opíralo,VERB,VpNS----R-AAI--,root,,Neut,Sing,,0.0396848834118128,O
o,ADP,RR--4----------,case,Acc,,,,0.027770381161106,O
nihilistický,ADJ,AAIS4----1A----,amod,Acc,Masc,Sing,Inan,0.1762951380960938,O
fatalismus,NOUN,NNIS4-----A----,obl:arg,Acc,Masc,Sing,Inan,0.0227161621969877,O
.,PUNCT,Z:-------------,punct,,,,,0.0832533475384892,O
“,PUNCT,Z:-------------,punct,,,,,0.0781670371190197,O
Bojím,VERB,VB-S---1P-AAI--,root,,,Sing,,-0.0796537527216411,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.0985173957006724,O
",",PUNCT,Z:-------------,punct,,,,,0.0801802557500508,O
že,SCONJ,"J,-------------",mark,,,,,0.0025727468142277,O
vycházím,VERB,VB-S---1P-AAI--,ccomp,,,Sing,,0.0611430484580672,O
přímo,ADV,Dg-------1A----,advmod:emph,,,,,-0.0483609953686674,O
do,ADP,RR--2----------,case,Gen,,,,0.0299334668397715,O
slunce,NOUN,NNNS2-----A----,obl,Gen,Neut,Sing,,0.2401240143113164,O
kvůli,ADP,RR--3----------,case,Dat,,,,-0.2165351191192847,O
díře,NOUN,NNFS3-----A----,obl,Dat,Fem,Sing,,0.0458312442382105,O
v,ADP,RR--6----------,case,Loc,,,,0.0598518614018313,O
ozonové,ADJ,AAFS6----1A----,amod,Loc,Fem,Sing,,0.0651167630398537,O
vrstvě,NOUN,NNFS6-----A----,nmod,Loc,Fem,Sing,,0.0303013980337768,O
.,PUNCT,Z:-------------,punct,,,,,-0.0007096718002121,O
Bojím,VERB,VB-S---1P-AAI--,ccomp,,,Sing,,-0.1033693333062864,O
se,PRON,P7-X4----------,expl:pv,Acc,,,,0.0864958362573096,O
dýchat,VERB,Vf--------A-I--,xcomp,,,,,0.080084153505341,O
vzduch,NOUN,NNIS4-----A----,obj,Acc,Masc,Sing,Inan,0.0662705377797018,O
",",PUNCT,Z:-------------,punct,,,,,0.1064964754177508,O
