,SYS,SID,RAW.SCR,Z.SCR,N,Unnamed: 5,DOC
11,Online-B.1589,1,99.8333333333333,0.89636941582412,6,,en.ndtv.com.13152
89,Online-B.1589,12,99.0,0.617948041472634,2,,upi.205721
141,Online-B.1589,1,98.5,0.547454187768202,4,,cnbc.com.33995
198,Online-B.1589,2,98.0,0.727958497278795,2,,rte.en.ie.5331
200,Online-B.1589,8,99.0,0.766537449296995,4,,cnn.385674
241,Online-B.1589,7,98.0,0.577690732858898,2,,upi.205721
242,Online-B.1589,8,99.0,0.606565745724358,2,,upi.205721
244,Online-B.1589,4,98.0,0.866929893883596,2,,cnn.385761
356,Online-B.1589,2,98.5,0.855731199985555,2,,reuters.276692
455,Online-B.1589,4,98.5,0.986341184785613,2,,reuters.276572
467,Online-B.1589,9,99.5,0.638076695779502,2,,upi.205721
472,Online-B.1589,0,99.5,0.624458380176048,2,,guardian.260748
530,Online-B.1589,11,98.0,0.866929893883596,2,,cnn.385761
532,Online-B.1589,1,98.0,0.71469310400035,2,,standard.co.uk.14516
535,Online-B.1589,4,99.5,0.759686830124071,2,,standard.co.uk.14516
581,Online-B.1589,12,100.0,0.811410144471153,2,,huffingtonpost.com.19347
600,Online-B.1589,3,98.5,0.985542028745452,2,,reuters.276572
614,Online-B.1589,5,98.5,0.888592217254427,2,,cnn.385761
615,Online-B.1589,3,99.0,0.596670166380201,2,,guardian.260748
661,Online-B.1589,6,99.0,0.981409068672439,2,,reuters.276668
688,Online-B.1589,10,100.0,0.652246593971896,2,,guardian.260748
754,Online-B.1589,8,100.0,0.953579187366919,2,,cnn.385761
810,Online-B.1589,8,99.0,1.13409348375653,1,,standard.co.uk.14562
826,Online-B.1589,10,98.0,1.59497691112909,2,,huffingtonpost.com.19390
857,Online-B.1589,0,99.3333333333333,1.07202402069559,3,,seattletimes.7807
872,Online-B.1589,8,98.0,0.970938080936962,2,,reuters.276572
873,Online-B.1589,12,98.5,0.985941606765532,2,,reuters.276572
912,Online-B.1589,2,99.0,0.581338633681717,2,,cnbc.com.33995
954,Online-B.1589,11,98.5,0.597819387165767,2,,upi.205721
958,Online-B.1589,4,98.0,1.09864752395792,1,,standard.co.uk.14562
959,Online-B.1589,9,99.0,1.13409348375653,1,,telegraph.421295
960,Online-B.1589,3,99.0,1.13409348375653,1,,telegraph.421295
1021,Online-B.1589,9,98.5,0.986341184785613,2,,reuters.276572
1041,Online-B.1589,1,99.0,0.874995637525625,2,,reuters.276692
1068,Online-B.1589,1,99.5,0.785826925306095,2,,rte.en.ie.5331
1128,Online-G.1555,3,99.5,0.785826925306095,2,,cnbc.com.33999
1141,Online-G.1555,10,99.0,0.984593397116965,2,,huffingtonpost.com.19390
1164,Online-G.1555,8,98.0,0.810367149807841,1,,standard.co.uk.14562
1168,Online-G.1555,1,99.0,0.992837788526099,2,,scotsman.155294
1255,Online-G.1555,4,99.0,0.846878397828019,1,,standard.co.uk.14562
1273,Online-G.1555,6,100.0,0.649296013893982,1,,express.co.uk.11102
1310,Online-G.1555,1,98.5,0.702568689051894,2,,aj-english.8643
1355,Online-G.1555,0,99.0,0.982145148765735,2,,metro.co.uk.12158
1358,Online-G.1555,2,98.0,1.35347475170324,2,,brisbanetimes.com.au.225990
1404,Online-G.1555,8,99.5,0.785826925306095,2,,cnbc.com.33995
1421,Online-G.1555,13,100.0,0.65908339312185,1,,guardian.260695
1448,Online-G.1555,10,99.0,0.982145148765735,2,,metro.co.uk.12158
1484,Online-G.1555,0,100.0,0.778783984518489,2,,aj-english.8643
1485,Online-G.1555,2,99.5,0.753878079029426,2,,aj-english.8643
1539,Online-G.1555,1,100.0,0.958382619707775,1,,reuters.276717
1540,Online-G.1555,8,100.0,0.649296013893982,1,,express.co.uk.11102
1541,Online-G.1555,1,98.0,0.541093738788504,2,,upi.205735
1542,Online-G.1555,3,100.0,0.652246593971896,2,,upi.205735
1543,Online-G.1555,5,100.0,0.652246593971896,2,,upi.205735
1544,Online-G.1555,10,99.0,0.596670166380201,2,,guardian.260810
1567,Online-G.1555,0,98.5,0.703317478551598,2,,abcnews.363994
1582,Online-G.1555,0,98.3333333333333,1.04020389607356,3,,reuters.276541
1608,Online-G.1555,8,99.0,0.81850300544247,2,,standard.co.uk.14516
1612,Online-G.1555,9,98.5,0.888592217254427,2,,rt.com.113909
1613,Online-G.1555,6,99.5,0.624458380176048,2,,guardian.260810
1644,Online-G.1555,1,98.0,0.676165204563425,2,,novinite.com.35557
1665,Online-G.1555,4,100.0,0.65908339312185,1,,guardian.260695
1696,Online-G.1555,11,99.0,0.959490519693847,2,,reuters.276702
1705,Online-G.1555,10,99.5,0.624458380176048,2,,upi.205735
1736,Online-G.1555,5,98.5,0.849381644498779,2,,telegraph.421297
1776,Online-G.1555,0,99.5,0.931916863996088,2,,rt.com.113909
1778,Online-G.1555,5,100.0,0.649296013893982,1,,express.co.uk.11102
1814,Online-G.1555,9,98.0,0.727958497278795,2,,seattletimes.7807
1852,Online-G.1555,8,99.5,1.39962193846306,2,,brisbanetimes.com.au.225990
1853,Online-G.1555,18,99.5,0.759686830124071,2,,heraldscotland.com.7318
1859,Online-G.1555,10,100.0,0.649296013893982,1,,express.co.uk.11102
1944,Online-G.1555,8,99.0,0.874995637525625,2,,telegraph.421297
1983,Online-G.1555,4,100.0,0.652246593971896,2,,upi.205735
1984,Online-G.1555,0,99.5,0.624458380176048,2,,guardian.260810
2064,Online-G.1555,12,100.0,0.649296013893982,1,,express.co.uk.11102
2120,Online-G.1555,0,98.0,0.625859436828852,2,,seattletimes.7019
