,SYS,SID,RAW.SCR,Z.SCR,N,Unnamed: 5,DOC
4,zlabs-nlp.169,17,95.0,0.480756900926469,2,,reuters.276576
9,zlabs-nlp.169,7,98.6666666666667,0.69131064410996,3,,allafrica.15186
39,zlabs-nlp.169,4,97.0,0.55195676617006,2,,seattletimes.7019
41,zlabs-nlp.169,3,97.5,0.626169810078479,2,,rte.en.ie.5293
46,zlabs-nlp.169,4,97.6,0.604714157244503,5,,allafrica.15186
52,zlabs-nlp.169,4,97.5,0.707242435800012,4,,dailymail.co.uk.365144
53,zlabs-nlp.169,9,98.3333333333333,0.798678620001567,3,,dailymail.co.uk.365144
76,zlabs-nlp.169,4,95.5,0.68605575563323,2,,aj-english.8627
81,zlabs-nlp.169,24,99.5,0.727710479379734,2,,rte.en.ie.5281
85,zlabs-nlp.169,14,95.3333333333333,0.87232743292583,3,,brisbanetimes.com.au.225973
86,zlabs-nlp.169,7,97.5,0.709221891877637,4,,dailymail.co.uk.365144
105,zlabs-nlp.169,15,99.0,0.683651094378255,2,,rte.en.ie.5281
106,zlabs-nlp.169,7,98.5,0.792861753889413,2,,reuters.276576
114,zlabs-nlp.169,14,96.0,0.595008249866483,2,,reuters.276576
116,zlabs-nlp.169,6,98.5,0.751618203893758,2,,rte.en.ie.5293
133,zlabs-nlp.169,8,98.5,0.810030196330557,2,,allafrica.15247
135,zlabs-nlp.169,10,98.5,0.822049797280952,2,,rt.com.113905
136,zlabs-nlp.169,19,98.5,0.822049797280952,2,,aj-english.8627
137,zlabs-nlp.169,2,99.0,0.784727870393331,2,,rte.en.ie.5293
141,zlabs-nlp.169,0,97.0,0.72800136153348,3,,dailymail.co.uk.365144
144,zlabs-nlp.169,2,95.0,0.375719226164138,2,,rte.en.ie.5281
148,zlabs-nlp.169,4,95.0,0.574392839826631,3,,allafrica.15224
149,zlabs-nlp.169,12,96.3333333333333,0.733550698068794,3,,allafrica.15224
159,zlabs-nlp.169,10,95.5,1.41432348118956,2,,allafrica.15310
172,zlabs-nlp.169,12,96.5,0.731387102849137,4,,rt.com.113905
173,zlabs-nlp.169,16,95.0,0.663390082025276,2,,aj-english.8627
183,zlabs-nlp.169,1,99.0,0.784727870393331,2,,rte.en.ie.5293
184,zlabs-nlp.169,4,97.0,0.573317123306862,2,,rte.en.ie.5293
190,zlabs-nlp.169,11,97.75,0.719203774838426,4,,dailymail.co.uk.365144
224,zlabs-nlp.169,0,97.5,0.606426789806435,2,,rte.en.ie.5293
226,zlabs-nlp.169,6,95.3333333333333,0.601773809979287,3,,huffingtonpost.com.19379
230,zlabs-nlp.169,6,98.0,0.652246073737595,3,,allafrica.15186
247,zlabs-nlp.169,8,96.75,0.74507399237341,4,,rt.com.113905
249,zlabs-nlp.169,18,95.5,0.693117913794115,2,,aj-english.8627
256,zlabs-nlp.169,15,98.0,0.748275346323279,2,,reuters.276576
258,zlabs-nlp.169,13,96.0,0.659865336059431,3,,allafrica.15224
263,zlabs-nlp.169,3,95.6666666666667,0.543235732065755,3,,allafrica.15186
288,zlabs-nlp.169,23,99.5,0.727710479379734,2,,rte.en.ie.5281
