Government Retires 15 More Senior Tax Officials On Graft Charges|Vláda poslala do důchodu dalších 15 vysokých daňových úředníků podezřelých z korupce|human
"We have recently taken the bold step of compulsorily retiring a significant number of tax officials, and we will not tolerate this type of behaviour," he had said.|„Nedávno jsme podnikli odvážný krok, když jsme donutili odejít do důchodu značný počet daňových úředníků, a takové chování nebudeme nadále tolerovat,“ uvedla.|human
Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.|Stephanie Layová uvedla, že během čtvrtka a pondělí našla ve své poštovní schránce hromadu dopisů od pojišťovací společnosti United Healthcare.|human
And the letters just kept coming, piling up to more than 500 by Monday.|Dopisy chodily dál a v pondělí se jich nahromadilo více než 500.|human
They were addressed to her son, who has autism and lives in a private care facility, she said. But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services -- in Cincinnati, she told local media.|Byly adresovány jejímu synovi, který trpí autismem a žije v soukromém pečovatelském zařízení. Ale po otevření dopisů zjistila, že je uvnitř místo jména jejího syna uvedeno jako adresát Ministerstvo zdravotnictví a pečovatelských služeb v Maine, Cincinnati, řekla místním médiím.|human
When she asked United Healthcare why she was receiving a mountain of letters, she was told it was a coding issue, she said.|Když se zeptala United Healthcare, proč dostávala takovou spoustu dopisů, bylo jí řečeno, že se se jednalo o problém s kódováním, uvedla.|human
In a statement, United Healthcare told CNN it's working to resolve the issue but it cannot provide details due to privacy requirements.|Společnost United Healthcare v prohlášení pro CNN řekla, že pracuje na řešení problému, ale z důvodu ochrany osobních údajů nemůže poskytnout bližší podrobnosti.|human
"We have determined the cause of the problem. We are very sorry this occurred, and we have contacted the family to discuss the situation with them," the health insurer said.|„Zjistili jsme příčinu problému. Je nám velmi líto, že k němu došlo, a kontaktovali jsme rodinu, abychom s ní situaci projednali,“ sdělila zdravotní pojišťovna.|human
"While this has been testing on Instagram, Facebook and (Instagram) are different surfaces and we will likely see different data come from this test," the company said.|„I když testování proběhlo na Instagramu, Facebook a (Instagram) jsou rozdílná média a z tohoto testu pravděpodobně dostaneme různá data,“ řekla společnost.|human
Hurricane Lorenzo strengthened into a Category 4 storm Thursday, producing swells that could affect parts of the Windward Islands and South America, the National Hurricane Center said.|Hurikán Lorenzo ve čtvrtek zesílil na stupeň 4 a vyvolal vlny, které by mohly ovlivnit některé z Návětrných ostrovů a Jižní Ameriku, uvedlo Národní centrum pro hurikány.|human
The eye of the major hurricane was about 1,660 miles southwest of the Azores in the NHC's 11 p.m. EDT update. The storm was moving north-northwest at 14 mph with 145 mph maximum sustained winds.|Oko hlavního hurikánu se nacházelo asi 1660 mil jihozápadně od Azorských ostrovů v 11:00 večer východního letního času. Bouře se pohybovala severozápadním směrem rychlostí 14 mil za hodinu s maximálními udržovanými větry 145 mil za hodinu.|human
Swells generated by the storm could cause life-threatening surf and rip currents in the Windward Islands and northeastern South America.|Vlny vytvořené bouří by mohly být nebezpečné v příbojových a zpětných proudech na ostrovech a severovýchodě Jižní Ameriky.|human
Lorenzo is the season's second Category 4 or higher storm. Dorian reached Category 5 status near the Bahamas.|Lorenzo je druhá sezónní bouře se stupněm 4 nebo vyšším. Hurikán Dorian dosáhl stupně 5 poblíž Baham.|human
According to Colorado State University Meteorologist Philip Klotzbach, the Western Hemisphere, which encompasses the Atlantic and eastern Pacific basins, has generated 16 named storms since Aug. 21.|Podle meteorologa ze státní Univerzity Philipa Klotzbacha v Coloradu se na západní polokouli, na které se nacházejí Atlantik a východní Pacifik, vytvořilo od 21. srpna 16 pojmenovaných bouří.|human
Failing to get the funding he desired for borders on the southern border from both the Mexican government and Congress, Trump declared the national emergency in February. His administration plans to pull $3.6 billion from military construction to fund border projects.|Protože nezískal od mexické vlády ani Kongresu finanční prostředky, které požadoval pro vybudování zdi podél jižní hranice USA, vyhlásil Trump v únoru národní nouzovou situaci. Jeho administrativa plánuje vyčlenit 3,6 miliardy dolarů z vojenské výstavby pro financování projektů na hranici.|human
Google Marks Its 21st Birthday With a Doodle: All You Need to Know|Google v den svých 21. narozenin zveřejnil doodle: Vše, co potřebujete vědět|human
Google is marking its own birthday today with a doodle. The doodle features a photo of a 90s' style computer with Google search page and date stamp for September 27, 1998, surrounded by confetti in Google colours. A smaller doodle with number 21 as candles, as a part of Google logo, shows on the search results page. The search giant was founded 21 years ago in 1998 by Larry Page and Sergey Brin, then students at Stanford University in California. September 27 is, however, not Google's actual birthday.|Google dnes zveřejnil v den svých narozenin nový doodle. Doodle obsahuje obrázek počítače ve stylu 90. let s vyhledávací Google stránkou a razítkem s datem 27. září 1998, a je obklopený konfetami v Google barvách. Na stránce s výsledky vyhledávání, jako součást Google loga, je zobrazen menší doodle číslem 21 v podobě svíček. Vyhledávací gigant byl založen před 21 lety v roce 1998 Larry Pagem a Sergey Brinem, tehdejšími studenty na Stanfordské univerzitě v Kalifornii. Avšak 27. září Google ve skutečnosti narozeniny nemá.|human
If you take the company's incorporation date as its birthday, then Google was born on September 4, 1998, however, the company never celebrated the day as its birthday, at least not in the form of a doodle. Google celebrated September 7 as its birthday in doodles until 2005, following which it switched to September 27.|Pokud považujeme za „datum narození“ společnosti oficiální zápis do obchodního rejstříku, potom se Google „narodil“ 4. září 1998, společnost však nikdy neoslavovala tento den jako datum svého zrození, alespoň v žádném doodlu. Google slavil 7. září jako den svých narozenin ve formě doodlů až do roku 2005, pak přešel na datum 27. září.|human
Initially, the search engine was called "BackRub" and it was later renamed "Google."|Internetový vyhledávač se zpočátku jmenoval „BackRub“ a později byl přejmenován na „Google“.|human
"We chose our systems name, Google, because it is a common spelling of googol, or 10100 and fits well with our goal of building very large-scale search engines," Sergey Brin and Lawrence (Larry) Page wrote in 1998 in a paper published about launching a prototype of a "large-scale search engine."|„Vybrali jsme si název našeho systému, Google, protože se vyslovuje podobně jako googol neboli 10100 a dobře se hodí našemu cíli vybudovat obří vyhledávač,“ napsali Sergey Brin a Lawrence (Larry) Page v roce 1998 do novin, které zveřejnily spuštění prototypu „rozsáhlého vyhledávače“.|human
