Why the Queen made an error of judgement on proroguing Parliament - Joyce McMillan|Почему королева допустила ошибку в вынесении решения о пророгации парламента - Joyce McMillan|mt
This time, though, warning bells should have sounded in the royal household as soon as they heard that the new Prime Minister was proposing such a long prorogation in the run-up to the Brexit deadline date; and a couple of quick concerned phone calls from palace to Downing Street should have been enough to persuade the PM to shorten his pre-Queen's Speech prorogation to the usual length of a few days or a week.|На этот раз, однако, предупредительные колокола должны были звучать в королевской семье, как только они услышали, что новый премьер-министр предлагает такую длительную отсрочку в преддверии даты крайнего срока Brexit; и пары быстрых обеспокоенных телефонных звонков из дворца на Даунинг-стрит должно было быть достаточно, чтобы убедить премьер-министра сократить продолжительность его речи перед королевой до обычной продолжительности в несколько дней или неделю.|mt
This time, though, warning bells should have sounded in the royal household as soon as they heard that the new Prime Minister was proposing such a long prorogation in the run-up to the Brexit deadline date; and a couple of quick concerned phone calls from palace to Downing Street should have been enough to persuade the PM to shorten his pre-Queen's Speech prorogation to the usual length of a few days or a week.|На этот раз, однако, в королевской семье должны были звучать предупреждающие звонки, как только они услышали, что новый премьер-министр предлагает такое длительное отступление в преддверии предельного срока Брексита; и пару быстро обеспокоенных телефонных звонков из дворца в Даунинг-стрит должно было быть достаточно, чтобы убедить премьер-министра сократить его выступление до короля в отступлении от обычной продолжительности в несколько дней или недель.|mt
To the royal household, after all, past custom and practice is 99 per cent of the law.|В конце концов, для королевской семьи прошлые обычаи и практика составляют 99 процентов закона.|mt
To the royal household, after all, past custom and practice is 99 per cent of the law.|В конце концов, для королевского домохозяйства прежние обычаи и практика составляют 99 процентов закона.|mt
So what went wrong?|Так что же пошло не так?|mt
We will probably never know, or not for decades.|Мы, вероятно, никогда не узнаем, или нет в течение десятилетий.|mt
Whatever the truth about the Queen's role in the prorogation, though, this much is clear; that as the current Brexit crisis is testing Britain's unwritten constitution to its limits, and provoking a dangerous moment of open constitutional warfare among government, parliament and the courts, it has also succeeded in undermining the monarch's conventional stabilising role in that constitution, associating her with a rash act that has now been declared unlawful, by a government that commands no parliamentary majority.|Что бы ни было так много о роли королевы в отсрочку, однако, это очень ясно; что, поскольку нынешний кризис Brexit проверяет британскую неписаную конституцию до своих пределов и провоцирует опасный момент открытой конституционной войны среди правительства, парламента и судов, ему также удалось подорвать обычную роль монарха в этой конституции, ассоциируя ее с беспорядочным актом, который в настоящее время объявлен незаконным, правительством.|mt
Whatever the truth about the Queen's role in the prorogation, though, this much is clear; that as the current Brexit crisis is testing Britain's unwritten constitution to its limits, and provoking a dangerous moment of open constitutional warfare among government, parliament and the courts, it has also succeeded in undermining the monarch's conventional stabilising role in that constitution, associating her with a rash act that has now been declared unlawful, by a government that commands no parliamentary majority.|Какой бы ни была правда о роли королевы в отступлении, это совершенно очевидно; так как нынешний кризис Брексита подвергает сомнению неписаную британскую конституцию до пределов ее границ и провоцирует опасный момент открытой конституционной войны между правительством, парламентом и судами, ему также удалось подорвать традиционную стабилизирующую роль монарха в этой конституции, связав ее с поспешным актом, который сейчас был объявлен незаконным правительством, не обладающим парламентским большинством.|mt
The global merchants of democratic instability and breakdown - the Putins and Bannons, with their armies of hate-mongering internet bots - must be delighted by the spectacular progress of their project, over just three years, in one of the world's most stable democracies.|Мировые торговцы демократической нестабильностью и крахом - Путин и Баннонс, с их армиями разжигающих ненависть интернет-ботов - должны быть рады впечатляющему прогрессу их проекта всего за три года в одной из самых стабильных демократий в мире.|mt
The global merchants of democratic instability and breakdown - the Putins and Bannons, with their armies of hate-mongering internet bots - must be delighted by the spectacular progress of their project, over just three years, in one of the world's most stable democracies.|Глобальные торговцы демократической нестабильностью и распадом-Путины и Банноны, с их армиями разжигающих ненависть интернет-ботов-должны быть в восторге от впечатляющего прогресса их проекта, всего за три года, в одной из самых стабильных демократий в мире.|mt
In 1977, Lydon and the Sex Pistols famously warned that "there is no future for you, in England's dreaming."|В 1977 году Лидон и секс-пистолеты знаменито предупредили, что "нет будущего для вас, в Англии мечта".|mt
Ms. Viotti went on to outline some of the progress being made in certain African countries, such as the peace talks, led by the African Union, in the Central African Republic which led a Political Agreement which is being overseen by the UN; the signing of a Constitutional Declaration in Sudan, which has allowed for the establishment of a civilian-led government, following efforts led by Ethiopia and the African Union (AU), with UN support; and free and fair elections in Madagascar, supported by the Southern Africa Development Community, the African Union, and UN.|Далее г-жа Виотти рассказала о некоторых успехах, достигнутых в некоторых африканских странах, таких как мирные переговоры под руководством Африканского союза в ЦАР, которые привели к заключению Политического соглашения под наблюдением ООН; подписание Конституционной декларации в Судане, которая позволила создать правительство под гражданским руководством после усилий под руководством Эфиопии и Африканского союза (АС) при поддержке ООН; и свободные и справедливые выборы на Мадагаскаре при поддержке Сообщества по вопросам развития стран юга Африки, Африканского союза и ООН.|mt
Ms. Viotti went on to outline some of the progress being made in certain African countries, such as the peace talks, led by the African Union, in the Central African Republic which led a Political Agreement which is being overseen by the UN; the signing of a Constitutional Declaration in Sudan, which has allowed for the establishment of a civilian-led government, following efforts led by Ethiopia and the African Union (AU), with UN support; and free and fair elections in Madagascar, supported by the Southern Africa Development Community, the African Union, and UN.|Далее г-жа Виотти остановилась на некоторых достижениях в некоторых африканских странах, таких, как мирные переговоры под руководством Африканского союза в Центральноафриканской Республике, которые возглавили политическое соглашение, находящееся в ведении Организации Объединенных Наций; подписание конституционной декларации в Судане, которая позволила создать возглавляемое гражданским населением правительство, после того как при поддержке Организации Объединенных Наций были предприняты усилия, возглавляемые Эфиопией и Африканским союзом (АС); и проведение свободных и справедливых выборов на Мадагаскаре при поддержке Сообщества по вопросам развития стран юга Африки, Африканского союза и Организации Объединенных Наций.|mt
Cooperation between the UN, African Union and other partners in the area of elections is growing, said Ms. Viotti, citing visits organized by the UN Office for West Africa to several countries, ahead of legislative or presidential elections, over the last two years.|Сотрудничество между ООН, Африканским союзом и другими партнерами в области выборов расширяется, сказала г-жа Виотти, сославшись на визиты, организованные Отделением ООН по Западной Африке в несколько стран в преддверии выборов в законодательные органы или президента, в течение последних двух лет.|mt
Cooperation between the UN, African Union and other partners in the area of elections is growing, said Ms. Viotti, citing visits organized by the UN Office for West Africa to several countries, ahead of legislative or presidential elections, over the last two years.|Сотрудничество между ООН, Африканским союзом и другими партнерами в области выборов растет, сказала госпожа Виотти, ссылаясь на визиты, организованные Отделением ООН для Западной Африки в несколько стран в преддверии парламентских или президентских выборов за последние два года.|mt
Cooperation between the UN, African Union and other partners in the area of elections is growing, said Ms. Viotti, citing visits organized by the UN Office for West Africa to several countries, ahead of legislative or presidential elections, over the last two years.|Сотрудничество между ООН, Африканским Союзом и другими партнерами в области выборов растет, сказала г-жа Виотти, ссылаясь на поездки, организованные отделением ООН для Западной Африки в несколько стран в преддверии законодательных или президентских выборов в течение последних двух лет.|mt
Cooperation between the UN, African Union and other partners in the area of elections is growing, said Ms. Viotti, citing visits organized by the UN Office for West Africa to several countries, ahead of legislative or presidential elections, over the last two years.|Сотрудничество между ООН, Африканским союзом и другими партнерами в области выборов расширяется, сказала г-жа Виотти, ссылаясь на визиты, организованные Отделением ООН для Западной Африки в несколько стран в преддверии выборов в законодательные или президентские выборы, за последние два года.|mt
More effective support needed from international community|Более эффективная поддержка, необходимая со стороны международного сообщества|mt
More effective support needed from international community|Необходима более эффективная поддержка со стороны международного сообщества|mt
The agency had earlier said that Deepak Talwar "illegally engaged in liasoning/lobbying with politicians, ministers and other public servants and officials of the Ministry of Civil Aviation for airlines such as Emirates, Air Arabia and Qatar Airways for securing undue benefits for them" during the tenure of the UPA government.|Ранее агентство заявило, что Дипак Талвар "незаконно занимался лживыми отношениями с политиками, министрами и другими государственными служащими и должностными лицами Министерства гражданской авиации для таких авиакомпаний, как Эмираты, авиакомпания Air Arabia и Qatar Airways, в целях обеспечения им неоправданных льгот" в период пребывания в должности правительства УПА.|mt
The agency had earlier said that Deepak Talwar "illegally engaged in liasoning/lobbying with politicians, ministers and other public servants and officials of the Ministry of Civil Aviation for airlines such as Emirates, Air Arabia and Qatar Airways for securing undue benefits for them" during the tenure of the UPA government.|Агентство ранее сообщало, что Дипак Талвар «незаконно занимался связями / политическими действиями с политиками, министрами и другими государственными служащими и должностными лицами Министерства гражданской авиации для таких авиакомпаний, как Emirates, Air Arabia и Qatar Airways, чтобы обеспечить им неоправданные выгоды» во время срок полномочий правительства УПА.|mt
Scharf will take over from interim CEO Allen Parker, who was thrust into the position in March when former CEO Tim Sloan resigned abruptly.|Шарф возьмет на себя полномочия временного генерального директора Аллена Паркера, который был ввергнут в должность в марте, когда бывший генеральный директор Тим Слоан внезапно ушел в отставку.|mt
Scharf will take over from interim CEO Allen Parker, who was thrust into the position in March when former CEO Tim Sloan resigned abruptly.|Шарф сменит на этом посту временного генерального директора Аллена Паркера, который был введен в должность в марте, когда бывший генеральный директор Тим Слоан внезапно подал в отставку.|mt
Wells Fargo's board has been shuffled many times since the scandal, with more than half of its independent directors joining the board after 2016.|Совет директоров Wells Fargo неоднократно перетасовывался после скандала, и более половины его независимых директоров присоединились к совету директоров после 2016 года.|mt
Wells Fargo's board has been shuffled many times since the scandal, with more than half of its independent directors joining the board after 2016.|Совет Wells Fargo неоднократно перетасовывался после скандала, с более чем половиной его независимых директоров присоединились к совету после 2016 года.|mt
Wells Fargo's board has been shuffled many times since the scandal, with more than half of its independent directors joining the board after 2016.|После скандала правление Уэллса Фарго неоднократно перетасовывалось, и после 2016 года более половины его независимых директоров стали членами правления.|mt
Most recently, Scharf was heading Bank of New York Mellon (BK.N).|Совсем недавно Шарф возглавлял Банк Нью-Йорка Меллона (БКН).|mt
Most recently, Scharf was heading Bank of New York Mellon (BK.N).|Совсем недавно Шарф возглавлял Bank of New York Mellon (BK. Н).|mt
Before joining the custodian bank, he held the top job at Visa Inc (V.N), the world's largest payment network.|До прихода в кастодианский банк он занимал лидирующую должность в Visa Inc (V.N), крупнейшей в мире платежной сети.|mt
Before joining the custodian bank, he held the top job at Visa Inc (V.N), the world's largest payment network.|Прежде чем присоединиться к банку хранителей, он занимал высшую должность в Visa Inc (V.N), крупнейшей в мире платежной сети.|mt
Before joining the custodian bank, he held the top job at Visa Inc (V.N), the world's largest payment network.|До прихода в банк-хранитель он занимал руководящую должность в Visa Inc (V.N), крупнейшей в мире платежной сети.|mt
The bank also said Scharf had forfeited all of his equity and incentive awards which were unvested as of Thursday.|Банк также заявил, что Шарф утратил все свои акции и поощрительные вознаграждения, которые не были объявлены по состоянию на четверг.|mt
The bank also said Scharf had forfeited all of his equity and incentive awards which were unvested as of Thursday.|Банк также сообщил, что Шарф лишил всех своих акций и поощрительных наград, которые не были инвестированы по состоянию на четверг.|mt
"Scharf's first task will be appeasing regulators and making the changes necessary to remove the asset cap currently in place," Kleinhanzl said.|«Первой задачей Шарфа будет умиротворение регуляторов и внесение изменений, необходимых для снятия ограничения активов в настоящее время», - сказал Кляйнханцл.|mt
"Scharf's first task will be appeasing regulators and making the changes necessary to remove the asset cap currently in place," Kleinhanzl said.|"Первой задачей Шарфа будет умиротворение регуляторов и внесение изменений, необходимых для устранения крышки активов в настоящее время", сказал Кляйнханцль.|mt
"He moves from a bank with far less retail business than Wells Fargo, so he will face a steep learning curve," said Erik Gordon, a professor at the University of Michigan's Ross School of Business.|« Он переходит из банка с гораздо меньшим розничным бизнесом, чем Wells Fargo, поэтому он столкнется с крутой кривой обучения »,-сказал Эрик Гордон, профессор Школы бизнеса Росса Мичиганского университета.|mt
"He moves from a bank with far less retail business than Wells Fargo, so he will face a steep learning curve," said Erik Gordon, a professor at the University of Michigan's Ross School of Business.|"Он переезжает из банка с гораздо менее розничным бизнесом, чем Уэллс Фарго, поэтому он будет сталкиваться с резкой кривой обучения", сказал Эрик Гордон, профессор в Университете Мичигана Росс Школа бизнеса.|mt
Wells Fargo said Scharf's base salary at the bank would be $2.5 million - nearly the same as Sloan's base pay in 2018.|Уэллс Фарго заявил, что базовая зарплата Шарфа в банке составит $2,5 млн - почти столько же, сколько базовая зарплата Слоана в 2018 году.|mt
Wells Fargo said Scharf's base salary at the bank would be $2.5 million - nearly the same as Sloan's base pay in 2018.|Уэллс Фарго сказал, что базовая зарплата Шарфа в банке составит 2,5 миллиона долларов-почти столько же, сколько базовая зарплата Слоана в 2018 году.|mt
Wells Fargo said Scharf's base salary at the bank would be $2.5 million - nearly the same as Sloan's base pay in 2018.|Уэллс Фарго сказал, что базовая зарплата Шарфа в банке составит 2,5 миллиона долларов - почти столько же, сколько базовая зарплата Слоана в 2018 году.|mt
Wells Fargo said Scharf's base salary at the bank would be $2.5 million - nearly the same as Sloan's base pay in 2018.|Уэллс Фарго сказал, что базовая зарплата Шарфа в банке составит $2,5 млн - почти столько же, как базовая зарплата слона в 2018 году.|mt
Sloan's total compensation for the year was $18.4 million.|Общая сумма компенсации, выплаченной слона за год, составила 18,4 млн. долл. США.|mt
Sloan's total compensation for the year was $18.4 million.|Общая компенсация Слоана за год составила 18,4 миллиона долларов.|mt
Sloan's total compensation for the year was $18.4 million.|Общая компенсация Слоуна за год составила 18,4 миллиона долларов.|mt
For a lot of guys this is a shop window and hopefully some of them can put on a hell of a performance out there and get a contract.|Для многих парней это окно магазина и, надеюсь, некоторые из них могут поставить на ад производительности там и получить контракт.|mt
For a lot of guys this is a shop window and hopefully some of them can put on a hell of a performance out there and get a contract.|Для многих парней это окно магазина, и надеюсь, некоторые из них смогут устроить там адское выступление и получить контракт.|mt
For a lot of guys this is a shop window and hopefully some of them can put on a hell of a performance out there and get a contract.|Для многих парней это окно магазина и, надеюсь, некоторые из них могут поставить на ад спектакля там и получить контракт.|mt
For a lot of guys this is a shop window and hopefully some of them can put on a hell of a performance out there and get a contract.|Для многих парней это витрина магазина и, надеюсь, некоторые из них могут поставить на адское представление там и получить контракт.|mt
Canada coach Kingsley Jones, however, said Thursday's performance had been a major step up for his side, which has struggled internationally for a number of years and was the last to qualify for the tournament.|Канада тренер Кингсли Джонс, однако, сказал, что выступление в четверг был крупным шагом вверх для его стороны, которая боролась на международном уровне в течение ряда лет и был последним, чтобы претендовать на турнир.|mt
The advent of Major League Rugby (MLR) in North America launched two years ago, however, is an important development in bridging the gap between tier-one and tier-two nations and for the development of players in Canada and the United States, he said.|По его словам, появление крупной лиги регби (MLR) в Северной Америке, начавшееся два года назад, является важным событием в преодолении разрыва между странами первого и второго уровней, а также в развитии игроков в Канаде и Соединенных Штатах.|mt
"They all held down day jobs," said Jones.|- Они все держали дневные рабочие места, - сказал Джонс.|mt
"They all held down day jobs," said Jones.|"Они все провел вниз день рабочих мест", сказал Джонс.|mt
"They all held down day jobs," said Jones.|"Они все задерживали рабочие места", - сказал Джонс.|mt
But I think the MLR is a lifeline for Canada and the United States.|Но я думаю, что МЛР является жизненно важным мостом для Канады и Соединенных Штатов.|mt
But I think the MLR is a lifeline for Canada and the United States.|Но я думаю, что MLR является спасательным кругом для Канады и Соединенных Штатов.|mt
It's a pathway for players and coaches.|Это путь для игроков и тренеров.|mt
Jones said there were 51 Canadians contracted to MLR clubs last season.|Джонс сказал, что в прошлом сезоне в клубы МЛР был заключен контракт с 51 канадцем.|mt
Jones said there were 51 Canadians contracted to MLR clubs last season.|Джонс сказал, что было 51 канадцев контракт с клубами MLR в прошлом сезоне.|mt
Less than 18 months ago, more than 40 were working other jobs.|Менее 18 месяцев назад более 40 человек работали на других рабочих местах.|mt
Less than 18 months ago, more than 40 were working other jobs.|Менее 18 месяцев назад более 40 работали на других работах.|mt
