num,sys
3,translator-A
13,translator-A
24,translator-A
25,translator-A
64,translator-A
65,translator-A
66,translator-A
67,translator-A
68,translator-A
69,translator-A
70,translator-A
71,translator-A
72,translator-A
73,translator-A
74,translator-A
75,translator-A
76,translator-A
98,translator-A
100,translator-A
101,translator-A
102,translator-A
103,translator-A
105,translator-A
107,translator-A
108,translator-A
109,translator-A
110,translator-A
111,translator-A
115,translator-A
116,translator-A
117,translator-A
118,translator-A
119,translator-A
120,translator-A
121,translator-A
122,translator-A
124,translator-A
125,translator-A
126,translator-A
127,translator-A
128,translator-A
129,translator-A
130,translator-A
131,translator-A
132,translator-A
133,translator-A
134,translator-A
135,translator-A
136,translator-A
137,translator-A
138,translator-A
139,translator-A
140,translator-A
141,translator-A
142,translator-A
143,translator-A
144,translator-A
145,translator-A
147,translator-A
149,translator-A
150,translator-A
151,translator-A
152,translator-A
153,translator-A
154,translator-A
155,translator-A
156,translator-A
157,translator-A
158,translator-A
159,translator-A
160,translator-A
161,translator-A
162,translator-A
164,translator-A
165,translator-A
166,translator-A
167,translator-A
168,translator-A
169,translator-A
170,translator-A
171,translator-A
172,translator-A
173,translator-A
174,translator-A
175,translator-A
176,translator-A
177,translator-A
178,translator-A
179,translator-A
180,translator-A
181,translator-A
182,translator-A
183,translator-A
184,translator-A
185,translator-A
186,translator-A
187,translator-A
188,translator-A
189,translator-A
191,translator-A
192,translator-A
193,translator-A
194,translator-A
195,translator-A
196,translator-A
197,translator-A
198,translator-A
199,translator-A
202,translator-A
203,translator-A
204,translator-A
205,translator-A
206,translator-A
207,translator-A
208,translator-A
209,translator-A
210,translator-A
211,translator-A
212,translator-A
213,translator-A
214,translator-A
215,translator-A
216,translator-A
217,translator-A
218,translator-A
219,translator-A
220,translator-A
221,translator-A
222,translator-A
223,translator-A
224,translator-A
226,translator-A
227,translator-A
254,translator-A
255,translator-A
256,translator-A
257,translator-A
258,translator-A
259,translator-A
260,translator-A
261,translator-A
262,translator-A
263,translator-A
264,translator-A
265,translator-A
266,translator-A
267,translator-A
268,translator-A
269,translator-A
270,translator-A
271,translator-A
272,translator-A
273,translator-A
274,translator-A
275,translator-A
276,translator-A
277,translator-A
278,translator-A
279,translator-A
280,translator-A
282,translator-A
283,translator-A
284,translator-A
286,translator-A
287,translator-A
288,translator-A
291,translator-A
292,translator-A
297,translator-A
326,translator-A
327,translator-A
328,translator-A
329,translator-A
330,translator-A
331,translator-A
332,translator-A
333,translator-A
334,translator-A
335,translator-A
336,translator-A
337,translator-A
338,translator-A
339,translator-A
341,translator-A
342,translator-A
343,translator-A
344,translator-A
345,translator-A
346,translator-A
347,translator-A
348,translator-A
389,translator-A
390,translator-A
394,translator-A
398,translator-A
399,translator-A
400,translator-A
401,translator-A
402,translator-A
403,translator-A
404,translator-A
405,translator-A
406,translator-A
407,translator-A
409,translator-A
410,translator-A
411,translator-A
412,translator-A
413,translator-A
414,translator-A
415,translator-A
416,translator-A
417,translator-A
418,translator-A
419,translator-A
420,translator-A
421,translator-A
422,translator-A
423,translator-A
424,translator-A
425,translator-A
426,translator-A
427,translator-A
428,translator-A
429,translator-A
430,translator-A
431,translator-A
432,translator-A
433,translator-A
434,translator-A
435,translator-A
436,translator-A
437,translator-A
438,translator-A
439,translator-A
440,translator-A
441,translator-A
442,translator-A
443,translator-A
444,translator-A
449,translator-A
451,translator-A
452,translator-A
453,translator-A
454,translator-A
455,translator-A
457,translator-A
458,translator-A
461,translator-A
462,translator-A
463,translator-A
465,translator-A
466,translator-A
467,translator-A
469,translator-A
470,translator-A
471,translator-A
472,translator-A
473,translator-A
474,translator-A
475,translator-A
476,translator-A
477,translator-A
478,translator-A
480,translator-A
481,translator-A
482,translator-A
483,translator-A
484,translator-A
485,translator-A
486,translator-A
487,translator-A
488,translator-A
489,translator-A
490,translator-A
491,translator-A
493,translator-A
494,translator-A
501,translator-A
502,translator-A
506,translator-A
513,translator-A
514,translator-A
515,translator-A
516,translator-A
517,translator-A
518,translator-A
520,translator-A
521,translator-A
522,translator-A
523,translator-A
524,translator-A
526,translator-A
527,translator-A
528,translator-A
529,translator-A
530,translator-A
531,translator-A
532,translator-A
533,translator-A
534,translator-A
537,translator-A
538,translator-A
539,translator-A
540,translator-A
541,translator-A
542,translator-A
543,translator-A
544,translator-A
545,translator-A
546,translator-A
547,translator-A
548,translator-A
549,translator-A
550,translator-A
551,translator-A
552,translator-A
553,translator-A
561,translator-A
565,translator-A
566,translator-A
567,translator-A
568,translator-A
569,translator-A
570,translator-A
571,translator-A
572,translator-A
573,translator-A
575,translator-A
576,translator-A
577,translator-A
578,translator-A
579,translator-A
669,translator-A
697,translator-A
699,translator-A
700,translator-A
701,translator-A
702,translator-A
703,translator-A
704,translator-A
705,translator-A
706,translator-A
707,translator-A
708,translator-A
709,translator-A
710,translator-A
711,translator-A
712,translator-A
722,translator-A
724,translator-A
725,translator-A
728,translator-A
730,translator-A
731,translator-A
732,translator-A
735,translator-A
736,translator-A
737,translator-A
738,translator-A
739,translator-A
740,translator-A
741,translator-A
742,translator-A
743,translator-A
744,translator-A
745,translator-A
746,translator-A
747,translator-A
748,translator-A
749,translator-A
750,translator-A
751,translator-A
752,translator-A
753,translator-A
754,translator-A
755,translator-A
756,translator-A
757,translator-A
758,translator-A
759,translator-A
760,translator-A
761,translator-A
762,translator-A
763,translator-A
764,translator-A
765,translator-A
766,translator-A
767,translator-A
768,translator-A
769,translator-A
770,translator-A
771,translator-A
772,translator-A
773,translator-A
774,translator-A
775,translator-A
776,translator-A
777,translator-A
779,translator-A
780,translator-A
781,translator-A
782,translator-A
784,translator-A
785,translator-A
786,translator-A
787,translator-A
788,translator-A
789,translator-A
790,translator-A
791,translator-A
792,translator-A
793,translator-A
794,translator-A
795,translator-A
809,translator-A
810,translator-A
811,translator-A
812,translator-A
813,translator-A
814,translator-A
815,translator-A
816,translator-A
817,translator-A
818,translator-A
819,translator-A
820,translator-A
821,translator-A
822,translator-A
823,translator-A
824,translator-A
825,translator-A
826,translator-A
828,translator-A
829,translator-A
830,translator-A
831,translator-A
844,translator-A
845,translator-A
846,translator-A
847,translator-A
848,translator-A
849,translator-A
850,translator-A
851,translator-A
852,translator-A
853,translator-A
854,translator-A
855,translator-A
856,translator-A
857,translator-A
858,translator-A
859,translator-A
860,translator-A
861,translator-A
862,translator-A
863,translator-A
864,translator-A
865,translator-A
866,translator-A
867,translator-A
915,translator-A
916,translator-A
917,translator-A
918,translator-A
919,translator-A
920,translator-A
921,translator-A
922,translator-A
923,translator-A
924,translator-A
926,translator-A
927,translator-A
929,translator-A
931,translator-A
932,translator-A
933,translator-A
934,translator-A
935,translator-A
936,translator-A
937,translator-A
938,translator-A
939,translator-A
940,translator-A
941,translator-A
942,translator-A
944,translator-A
945,translator-A
946,translator-A
947,translator-A
948,translator-A
949,translator-A
950,translator-A
951,translator-A
952,translator-A
953,translator-A
954,translator-A
955,translator-A
956,translator-A
957,translator-A
958,translator-A
959,translator-A
960,translator-A
961,translator-A
962,translator-A
963,translator-A
964,translator-A
965,translator-A
966,translator-A
969,translator-A
970,translator-A
972,translator-A
973,translator-A
975,translator-A
976,translator-A
977,translator-A
979,translator-A
989,translator-A
990,translator-A
991,translator-A
992,translator-A
993,translator-A
994,translator-A
995,translator-A
996,translator-A
997,translator-A
998,translator-A
999,translator-A
1000,translator-A
1001,translator-A
1002,translator-A
28,translator-B
29,translator-B
30,translator-B
31,translator-B
32,translator-B
33,translator-B
34,translator-B
35,translator-B
36,translator-B
37,translator-B
38,translator-B
39,translator-B
40,translator-B
41,translator-B
42,translator-B
43,translator-B
44,translator-B
45,translator-B
46,translator-B
47,translator-B
48,translator-B
49,translator-B
50,translator-B
51,translator-B
52,translator-B
53,translator-B
54,translator-B
55,translator-B
58,translator-B
62,translator-B
77,translator-B
79,translator-B
80,translator-B
81,translator-B
82,translator-B
83,translator-B
84,translator-B
85,translator-B
86,translator-B
87,translator-B
88,translator-B
89,translator-B
90,translator-B
91,translator-B
92,translator-B
93,translator-B
94,translator-B
95,translator-B
96,translator-B
97,translator-B
98,translator-B
99,translator-B
100,translator-B
101,translator-B
102,translator-B
103,translator-B
104,translator-B
105,translator-B
106,translator-B
107,translator-B
108,translator-B
109,translator-B
110,translator-B
111,translator-B
112,translator-B
113,translator-B
114,translator-B
115,translator-B
116,translator-B
117,translator-B
118,translator-B
119,translator-B
120,translator-B
121,translator-B
122,translator-B
123,translator-B
124,translator-B
125,translator-B
126,translator-B
127,translator-B
128,translator-B
129,translator-B
130,translator-B
131,translator-B
145,translator-B
146,translator-B
147,translator-B
148,translator-B
149,translator-B
150,translator-B
151,translator-B
152,translator-B
153,translator-B
154,translator-B
155,translator-B
156,translator-B
157,translator-B
158,translator-B
159,translator-B
160,translator-B
161,translator-B
162,translator-B
163,translator-B
164,translator-B
165,translator-B
166,translator-B
