,Unnamed: 0,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
0,12,engces0122,eTranslation,6,TGT,eng,ces,100,sky.com.33889,False,1630136166.867,1630136182.726
1,27,engces0122,eTranslation,14,TGT,eng,ces,100,sky.com.33889,False,1630136326.173,1630136330.919
8,54,engces0122,Online-A,3,TGT,eng,ces,100,bbc.500823,False,1630136737.668,1630136782.25
11,62,engces0122,Online-A,6,TGT,eng,ces,100,bbc.500823,False,1630136901.448,1630136904.494
14,74,engces0122,Online-A,10,TGT,eng,ces,100,bbc.500823,False,1630136988.743,1630136999.543
25,134,engces0122,Online-A,21,TGT,eng,ces,100,bbc.500823,False,1630137375.599,1630137382.285
31,161,engces0122,Online-A,27,TGT,eng,ces,100,bbc.500823,False,1630137543.681,1630137555.447
35,182,engces0122,Online-A,31,TGT,eng,ces,100,bbc.500823,False,1630137663.287,1630137681.188
37,191,engces0122,Online-A,34,TGT,eng,ces,100,bbc.500823,False,1630137743.829,1630137753.953
38,194,engces0122,Online-A,35,TGT,eng,ces,100,bbc.500823,False,1630137753.96,1630137764.736
45,445,engces0113,Online-W,0,TGT,eng,ces,100,seattle_times.253342,False,1630142276.091,1630142301.441
46,446,engces0113,Online-W,1,TGT,eng,ces,100,seattle_times.253342,False,1630142301.447,1630142322.764
48,452,engces0113,Online-W,3,TGT,eng,ces,98,seattle_times.253342,False,1630142361.949,1630142388.502
49,454,engces0113,Online-W,4,TGT,eng,ces,99,seattle_times.253342,False,1630142388.505,1630142400.973
128,733,engces0123,Online-W,5,TGT,eng,ces,100,guardian.306625,False,1630145281.674,1630145285.666
137,751,engces0123,Online-W,13,TGT,eng,ces,100,guardian.306625,False,1630145418.215,1630145423.104
140,755,engces0123,Online-W,16,TGT,eng,ces,100,guardian.306625,False,1630145454.449,1630145465.216
154,775,engces0123,CUNI-Marian-Baselines,2,TGT,eng,ces,98,guardian.306602,False,1630145660.976,1630145680.103
164,785,engces0123,CUNI-Marian-Baselines,8,TGT,eng,ces,100,guardian.306602,False,1630145892.196,1630145903.949
177,798,engces0113,Online-A,10,TGT,eng,ces,98,en.ndtv.com.75108,False,1630146135.298,1630146163.823
208,843,engces0113,eTranslation,11,TGT,eng,ces,100,en.ndtv.com.75108,False,1630146779.913,1630146801.661
242,912,engces0123,CUNI-DocTransformer,10,TGT,eng,ces,100,guardian.306722,False,1630147696.128,1630147709.832
258,942,engces0123,CUNI-Marian-Baselines,0,TGT,eng,ces,98,abcnews.420122,False,1630148143.286,1630148160.383
266,955,engces0123,CUNI-Marian-Baselines,8,TGT,eng,ces,100,abcnews.420122,False,1630148300.571,1630148308.886
279,978,engces0123,CUNI-DocTransformer,11,TGT,eng,ces,100,guardian.306616,False,1630148625.684,1630148631.725
280,979,engces0123,CUNI-DocTransformer,12,TGT,eng,ces,100,guardian.306616,False,1630148631.736,1630148653.299
321,1048,engces0113,translator-B,0,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151680.878,1630151702.71
322,1049,engces0113,translator-B,1,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151702.719,1630151730.274
330,1057,engces0113,translator-B,9,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151899.82,1630151910.078
333,1060,engces0113,translator-B,12,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1630151954.992,1630152134.563
366,1418,engces0113,CUNI-Transformer2018,10,TGT,eng,ces,98,en.ndtv.com.75106,False,1630160776.014,1630160788.278
369,1424,engces0113,CUNI-Transformer2018,13,TGT,eng,ces,99,en.ndtv.com.75106,False,1630160894.769,1630160909.717
370,1426,engces0113,CUNI-Transformer2018,14,TGT,eng,ces,99,en.ndtv.com.75106,False,1630160909.724,1630160929.757
371,1437,engces0113,CUNI-Transformer2018,16,TGT,eng,ces,100,en.ndtv.com.75106,False,1630161030.849,1630161045.861
373,1440,engces0113,CUNI-Transformer2018,18,TGT,eng,ces,99,en.ndtv.com.75106,False,1630161064.269,1630161072.661
375,1444,engces0113,CUNI-Transformer2018,20,TGT,eng,ces,100,en.ndtv.com.75106,False,1630161092.259,1630161105.195
380,1525,engces0125,Facebook-AI,0,TGT,eng,ces,100,guardian.306602,False,1630162729.101,1630162744.036
381,1526,engces0113,Facebook-AI,4,TGT,eng,ces,99,cbsnews.377408,False,1630162758.736,1630162771.013
383,1529,engces0113,Facebook-AI,6,TGT,eng,ces,99,cbsnews.377408,False,1630162788.228,1630162816.064
387,1533,engces0113,Facebook-AI,9,TGT,eng,ces,99,cbsnews.377408,False,1630162836.592,1630162846.975
388,1534,engces0113,Facebook-AI,10,TGT,eng,ces,100,cbsnews.377408,False,1630162846.982,1630162856.309
389,1536,engces0113,Facebook-AI,11,TGT,eng,ces,99,cbsnews.377408,False,1630162856.315,1630162880.649
390,1537,engces0113,Facebook-AI,12,TGT,eng,ces,100,cbsnews.377408,False,1630162880.655,1630162887.587
394,1542,engces0113,Facebook-AI,15,TGT,eng,ces,99,cbsnews.377408,False,1630162952.322,1630162966.85
395,1543,engces0113,Facebook-AI,16,TGT,eng,ces,100,cbsnews.377408,False,1630162966.856,1630162975.506
400,1550,engces0113,Facebook-AI,18,TGT,eng,ces,99,cbsnews.377408,False,1630162986.81,1630163216.514
401,1551,engces0113,Facebook-AI,19,TGT,eng,ces,99,cbsnews.377408,False,1630163216.521,1630163224.613
404,1554,engces0113,Facebook-AI,21,TGT,eng,ces,100,cbsnews.377408,False,1630163317.163,1630163323.361
405,1555,engces0113,Facebook-AI,22,TGT,eng,ces,100,cbsnews.377408,False,1630163323.367,1630163347.587
406,1556,engces0113,Facebook-AI,23,TGT,eng,ces,100,cbsnews.377408,False,1630163347.593,1630163360.457
410,1567,engces0125,CUNI-DocTransformer,6,TGT,eng,ces,100,seattle_times.253485,False,1630163644.507,1630163706.754
422,1633,engces0125,Facebook-AI,9,TGT,eng,ces,98,guardian.306602,False,1630164314.657,1630164350.738
433,1716,engces0125,CUNI-DocTransformer,5,TGT,eng,ces,98,seattle_times.253485,False,1630165030.704,1630165298.791
434,1720,engces0125,CUNI-DocTransformer,6,TGT,eng,ces,98,seattle_times.253485,False,1630165298.798,1630165341.863
443,1751,engces0125,CUNI-DocTransformer,11,TGT,eng,ces,98,seattle_times.253485,False,1630165571.453,1630165633.016
485,3899,engces0105,Online-A,9,TGT,eng,ces,100,rt.com.131279,False,1629806863.248,1629806864.605
494,3948,engces0105,Online-A,9,TGT,eng,ces,100,rt.com.131279,False,1629808255.879,1629808321.529
517,3978,engces0105,Online-B,12,TGT,eng,ces,100,rt.com.131224,False,1629809263.191,1629809277.553
522,3993,engces0105,Online-B,18,TGT,eng,ces,100,rt.com.131224,False,1629809603.059,1629809630.72
