num,sys
1,translator-C
2,translator-C
18,translator-C
19,translator-C
20,translator-C
21,translator-C
22,translator-C
23,translator-C
24,translator-C
26,translator-C
28,translator-C
41,translator-C
42,translator-C
43,translator-C
46,translator-C
49,translator-C
51,translator-C
62,translator-C
63,translator-C
64,translator-C
65,translator-C
66,translator-C
67,translator-C
69,translator-C
70,translator-C
71,translator-C
72,translator-C
73,translator-C
74,translator-C
75,translator-C
76,translator-C
77,translator-C
78,translator-C
83,translator-C
84,translator-C
85,translator-C
86,translator-C
87,translator-C
88,translator-C
89,translator-C
90,translator-C
91,translator-C
92,translator-C
97,translator-C
98,translator-C
99,translator-C
100,translator-C
102,translator-C
103,translator-C
104,translator-C
105,translator-C
106,translator-C
108,translator-C
109,translator-C
110,translator-C
111,translator-C
112,translator-C
113,translator-C
114,translator-C
115,translator-C
116,translator-C
117,translator-C
126,translator-C
129,translator-C
130,translator-C
131,translator-C
132,translator-C
133,translator-C
135,translator-C
136,translator-C
142,translator-C
143,translator-C
144,translator-C
145,translator-C
147,translator-C
148,translator-C
149,translator-C
150,translator-C
152,translator-C
153,translator-C
154,translator-C
155,translator-C
156,translator-C
157,translator-C
158,translator-C
159,translator-C
160,translator-C
172,translator-C
173,translator-C
174,translator-C
175,translator-C
176,translator-C
177,translator-C
178,translator-C
179,translator-C
180,translator-C
181,translator-C
189,translator-C
190,translator-C
191,translator-C
192,translator-C
193,translator-C
194,translator-C
196,translator-C
198,translator-C
199,translator-C
200,translator-C
201,translator-C
204,translator-C
206,translator-C
207,translator-C
208,translator-C
247,translator-C
248,translator-C
249,translator-C
250,translator-C
251,translator-C
252,translator-C
253,translator-C
254,translator-C
255,translator-C
256,translator-C
257,translator-C
286,translator-C
287,translator-C
289,translator-C
290,translator-C
291,translator-C
292,translator-C
293,translator-C
294,translator-C
295,translator-C
296,translator-C
298,translator-C
299,translator-C
300,translator-C
301,translator-C
303,translator-C
305,translator-C
306,translator-C
308,translator-C
309,translator-C
310,translator-C
325,translator-C
326,translator-C
327,translator-C
328,translator-C
329,translator-C
331,translator-C
332,translator-C
333,translator-C
334,translator-C
335,translator-C
337,translator-C
342,translator-C
343,translator-C
344,translator-C
345,translator-C
346,translator-C
347,translator-C
348,translator-C
352,translator-C
353,translator-C
354,translator-C
355,translator-C
356,translator-C
357,translator-C
358,translator-C
359,translator-C
360,translator-C
361,translator-C
362,translator-C
376,translator-C
377,translator-C
378,translator-C
381,translator-C
382,translator-C
392,translator-C
393,translator-C
398,translator-C
399,translator-C
400,translator-C
401,translator-C
402,translator-C
403,translator-C
404,translator-C
406,translator-C
407,translator-C
408,translator-C
414,translator-C
416,translator-C
417,translator-C
418,translator-C
419,translator-C
420,translator-C
421,translator-C
422,translator-C
423,translator-C
424,translator-C
425,translator-C
426,translator-C
427,translator-C
432,translator-C
435,translator-C
436,translator-C
437,translator-C
438,translator-C
439,translator-C
440,translator-C
441,translator-C
442,translator-C
449,translator-C
450,translator-C
452,translator-C
453,translator-C
454,translator-C
455,translator-C
456,translator-C
457,translator-C
458,translator-C
481,translator-C
482,translator-C
484,translator-C
485,translator-C
486,translator-C
498,translator-C
499,translator-C
519,translator-C
521,translator-C
522,translator-C
526,translator-C
528,translator-C
529,translator-C
537,translator-C
538,translator-C
541,translator-C
542,translator-C
543,translator-C
544,translator-C
545,translator-C
