num,sys
1,CUNI-Bergamot
18,CUNI-Bergamot
19,CUNI-Bergamot
20,CUNI-Bergamot
21,CUNI-Bergamot
22,CUNI-Bergamot
23,CUNI-Bergamot
24,CUNI-Bergamot
28,CUNI-Bergamot
41,CUNI-Bergamot
42,CUNI-Bergamot
43,CUNI-Bergamot
44,CUNI-Bergamot
47,CUNI-Bergamot
62,CUNI-Bergamot
63,CUNI-Bergamot
69,CUNI-Bergamot
83,CUNI-Bergamot
84,CUNI-Bergamot
85,CUNI-Bergamot
86,CUNI-Bergamot
88,CUNI-Bergamot
89,CUNI-Bergamot
91,CUNI-Bergamot
92,CUNI-Bergamot
99,CUNI-Bergamot
100,CUNI-Bergamot
102,CUNI-Bergamot
103,CUNI-Bergamot
105,CUNI-Bergamot
106,CUNI-Bergamot
107,CUNI-Bergamot
108,CUNI-Bergamot
110,CUNI-Bergamot
111,CUNI-Bergamot
112,CUNI-Bergamot
113,CUNI-Bergamot
114,CUNI-Bergamot
115,CUNI-Bergamot
116,CUNI-Bergamot
117,CUNI-Bergamot
131,CUNI-Bergamot
134,CUNI-Bergamot
145,CUNI-Bergamot
150,CUNI-Bergamot
151,CUNI-Bergamot
152,CUNI-Bergamot
153,CUNI-Bergamot
154,CUNI-Bergamot
155,CUNI-Bergamot
156,CUNI-Bergamot
157,CUNI-Bergamot
158,CUNI-Bergamot
159,CUNI-Bergamot
160,CUNI-Bergamot
162,CUNI-Bergamot
163,CUNI-Bergamot
171,CUNI-Bergamot
172,CUNI-Bergamot
173,CUNI-Bergamot
174,CUNI-Bergamot
175,CUNI-Bergamot
176,CUNI-Bergamot
177,CUNI-Bergamot
189,CUNI-Bergamot
190,CUNI-Bergamot
191,CUNI-Bergamot
192,CUNI-Bergamot
193,CUNI-Bergamot
197,CUNI-Bergamot
203,CUNI-Bergamot
205,CUNI-Bergamot
208,CUNI-Bergamot
248,CUNI-Bergamot
286,CUNI-Bergamot
289,CUNI-Bergamot
290,CUNI-Bergamot
291,CUNI-Bergamot
292,CUNI-Bergamot
293,CUNI-Bergamot
294,CUNI-Bergamot
297,CUNI-Bergamot
298,CUNI-Bergamot
299,CUNI-Bergamot
300,CUNI-Bergamot
301,CUNI-Bergamot
302,CUNI-Bergamot
309,CUNI-Bergamot
327,CUNI-Bergamot
328,CUNI-Bergamot
329,CUNI-Bergamot
330,CUNI-Bergamot
331,CUNI-Bergamot
332,CUNI-Bergamot
333,CUNI-Bergamot
334,CUNI-Bergamot
335,CUNI-Bergamot
337,CUNI-Bergamot
342,CUNI-Bergamot
343,CUNI-Bergamot
344,CUNI-Bergamot
345,CUNI-Bergamot
346,CUNI-Bergamot
347,CUNI-Bergamot
351,CUNI-Bergamot
352,CUNI-Bergamot
353,CUNI-Bergamot
354,CUNI-Bergamot
356,CUNI-Bergamot
359,CUNI-Bergamot
360,CUNI-Bergamot
361,CUNI-Bergamot
362,CUNI-Bergamot
374,CUNI-Bergamot
376,CUNI-Bergamot
377,CUNI-Bergamot
378,CUNI-Bergamot
379,CUNI-Bergamot
380,CUNI-Bergamot
381,CUNI-Bergamot
382,CUNI-Bergamot
383,CUNI-Bergamot
392,CUNI-Bergamot
393,CUNI-Bergamot
398,CUNI-Bergamot
399,CUNI-Bergamot
400,CUNI-Bergamot
401,CUNI-Bergamot
402,CUNI-Bergamot
403,CUNI-Bergamot
405,CUNI-Bergamot
406,CUNI-Bergamot
408,CUNI-Bergamot
414,CUNI-Bergamot
417,CUNI-Bergamot
418,CUNI-Bergamot
419,CUNI-Bergamot
420,CUNI-Bergamot
421,CUNI-Bergamot
422,CUNI-Bergamot
423,CUNI-Bergamot
424,CUNI-Bergamot
425,CUNI-Bergamot
426,CUNI-Bergamot
427,CUNI-Bergamot
432,CUNI-Bergamot
433,CUNI-Bergamot
434,CUNI-Bergamot
435,CUNI-Bergamot
436,CUNI-Bergamot
437,CUNI-Bergamot
438,CUNI-Bergamot
440,CUNI-Bergamot
441,CUNI-Bergamot
442,CUNI-Bergamot
449,CUNI-Bergamot
450,CUNI-Bergamot
452,CUNI-Bergamot
453,CUNI-Bergamot
456,CUNI-Bergamot
473,CUNI-Bergamot
474,CUNI-Bergamot
475,CUNI-Bergamot
476,CUNI-Bergamot
477,CUNI-Bergamot
480,CUNI-Bergamot
481,CUNI-Bergamot
484,CUNI-Bergamot
485,CUNI-Bergamot
486,CUNI-Bergamot
487,CUNI-Bergamot
489,CUNI-Bergamot
490,CUNI-Bergamot
492,CUNI-Bergamot
493,CUNI-Bergamot
495,CUNI-Bergamot
496,CUNI-Bergamot
500,CUNI-Bergamot
501,CUNI-Bergamot
516,CUNI-Bergamot
517,CUNI-Bergamot
519,CUNI-Bergamot
522,CUNI-Bergamot
524,CUNI-Bergamot
527,CUNI-Bergamot
528,CUNI-Bergamot
529,CUNI-Bergamot
537,CUNI-Bergamot
539,CUNI-Bergamot
545,CUNI-Bergamot
547,CUNI-Bergamot
548,CUNI-Bergamot
549,CUNI-Bergamot
551,CUNI-Bergamot
552,CUNI-Bergamot
563,CUNI-Bergamot
585,CUNI-Bergamot
588,CUNI-Bergamot
590,CUNI-Bergamot
591,CUNI-Bergamot
592,CUNI-Bergamot
595,CUNI-Bergamot
596,CUNI-Bergamot
598,CUNI-Bergamot
599,CUNI-Bergamot
600,CUNI-Bergamot
605,CUNI-Bergamot
606,CUNI-Bergamot
607,CUNI-Bergamot
608,CUNI-Bergamot
609,CUNI-Bergamot
610,CUNI-Bergamot
612,CUNI-Bergamot
644,CUNI-Bergamot
645,CUNI-Bergamot
647,CUNI-Bergamot
648,CUNI-Bergamot
649,CUNI-Bergamot
650,CUNI-Bergamot
651,CUNI-Bergamot
652,CUNI-Bergamot
654,CUNI-Bergamot
655,CUNI-Bergamot
656,CUNI-Bergamot
657,CUNI-Bergamot
659,CUNI-Bergamot
660,CUNI-Bergamot
661,CUNI-Bergamot
662,CUNI-Bergamot
666,CUNI-Bergamot
667,CUNI-Bergamot
673,CUNI-Bergamot
676,CUNI-Bergamot
682,CUNI-Bergamot
688,CUNI-Bergamot
689,CUNI-Bergamot
690,CUNI-Bergamot
693,CUNI-Bergamot
694,CUNI-Bergamot
697,CUNI-Bergamot
714,CUNI-Bergamot
716,CUNI-Bergamot
718,CUNI-Bergamot
719,CUNI-Bergamot
720,CUNI-Bergamot
721,CUNI-Bergamot
722,CUNI-Bergamot
739,CUNI-Bergamot
740,CUNI-Bergamot
742,CUNI-Bergamot
744,CUNI-Bergamot
768,CUNI-Bergamot
770,CUNI-Bergamot
774,CUNI-Bergamot
775,CUNI-Bergamot
777,CUNI-Bergamot
778,CUNI-Bergamot
784,CUNI-Bergamot
785,CUNI-Bergamot
786,CUNI-Bergamot
791,CUNI-Bergamot
792,CUNI-Bergamot
793,CUNI-Bergamot
795,CUNI-Bergamot
796,CUNI-Bergamot
797,CUNI-Bergamot
800,CUNI-Bergamot
801,CUNI-Bergamot
803,CUNI-Bergamot
807,CUNI-Bergamot
829,CUNI-Bergamot
839,CUNI-Bergamot
840,CUNI-Bergamot
841,CUNI-Bergamot
842,CUNI-Bergamot
844,CUNI-Bergamot
873,CUNI-Bergamot
886,CUNI-Bergamot
887,CUNI-Bergamot
888,CUNI-Bergamot
889,CUNI-Bergamot
936,CUNI-Bergamot
937,CUNI-Bergamot
949,CUNI-Bergamot
950,CUNI-Bergamot
952,CUNI-Bergamot
953,CUNI-Bergamot
955,CUNI-Bergamot
958,CUNI-Bergamot
959,CUNI-Bergamot
961,CUNI-Bergamot
963,CUNI-Bergamot
972,CUNI-Bergamot
973,CUNI-Bergamot
974,CUNI-Bergamot
975,CUNI-Bergamot
976,CUNI-Bergamot
977,CUNI-Bergamot
978,CUNI-Bergamot
979,CUNI-Bergamot
981,CUNI-Bergamot
985,CUNI-Bergamot
986,CUNI-Bergamot
987,CUNI-Bergamot
988,CUNI-Bergamot
989,CUNI-Bergamot
990,CUNI-Bergamot
991,CUNI-Bergamot
992,CUNI-Bergamot
