source|target|labels
As a result, when businesses were reopening some employees did not have an incentive to return to work.|V důsledku toho, když se podniky znovu otevíraly, někteří zaměstnanci neměli motivaci vrátit se do práce.|mt
The 236-174 vote sent the legislation to Trump, who is sure to veto it just as he killed a similar measure in March.|Hlasování v poměru 236: 174 poslalo legislativu Trumpovi, který ji jistě vetuje, stejně jako v březnu zrušil podobné opatření.|mt
But then Aubameyang teed up Kieran Tierney for a deflected second and, at the first drinks break, the game had been so oddly skewed that Arteta was the manager tearing a strip off his players despite Arsenal's advantage.|Pak ale Aubameyang na odvrácenou vteřinu tečoval s Kieranem Tierneym a při první přestávce na skleničku byl zápas tak podivně vychýlený, že Arteta byl manažerem, který navzdory výhodě Arsenalu strhl ze svých hráčů proužek.|mt
A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.|Kalifornský pár, který obědval se svým štěnětem v psím parku, zažil druhý případ, kdy je rozzlobená žena postříkala pepřovým sprejem za to, že se odmítali maskovat... při jídle.|mt
"China charged that some personnel at the Chengdu consulate were ""conducting activities not in line with their identities."""|Čína obvinila některé zaměstnance konzulátu v Čcheng-tu, že „prováděli činnosti, které neodpovídaly jejich identitě“.|mt
Refusal to answer or giving false or misleading answers would carry a maximum five year sentence.|Za odmítnutí odpovědět nebo za nepravdivé či zavádějící odpovědi by hrozil trest v maximální výši pěti let.|mt
"The vulnerability, dubbed ""Log4Shell,"" was rated 10 on a scale of one to 10 the Apache Software Foundation, which oversees development of the software."|Zranitelnost, přezdívaná „Log4Shell“, byla ohodnocena 10 na stupnici od jedné do 10 od Apache Software Foundation, která dohlíží na vývoj softwaru.|mt
They remove unconscious biases that might cloud clinicians' judgments.|Odstraňují podvědomé předsudky, které by mohly zatemnit úsudek lékařů.|mt
"However, the controversial political figure acknowledged ""a lot of people watching this might think I should stop talking about things."""|Nicméně kontroverzní politická osobnost uznala, že „mnoho lidí, kteří to sledují, by si mohlo myslet, že bych měl o věcech přestat mluvit“.|mt
Renewed sporadic closures of various sectors of the economy have deepened public vexation, sparking daily demonstrations.|Obnovené sporadické uzavírání různých hospodářských odvětví prohloubilo veřejné rozhořčení a vyvolalo každodenní demonstrace.|mt
See Norton website for more detail.|Další podrobnosti naleznete na webových stránkách společnosti Norton.|mt
His government is made up of a coalition of his center-left Social Democrats, the environmentalist Greens and the pro-business Free Democrats.|Jeho vláda se skládá z koalice jeho středolevých sociálních demokratů, ekologických Zelených a pro-podnikatelských svobodných demokratů.|mt
The easiest way would be to open a returns request via eBbay.|Nejjednodušší by bylo otevřít žádost o vrácení přes eBbay.|mt
There was nothing Von so long delivery time on your website|Na vašich webových stránkách nebylo nic o tak dlouhé dodací lhůtě.|mt
When news of his plans emerged earlier this month, Tobias Ellwood, a Tory backbencher and chair of the Commons Select Defence Committe, said MPs should be given the same opportunity to question him about defence and security matters as they are afforded for Ministers and civil servants.|Když se začátkem měsíce objevily zprávy o jeho plánech, Tobias Ellwood, konzervativec a předseda poslaneckého výběrového obranného výboru, řekl, že poslanci by měli dostat stejnou možnost ptát se ho na obranné a bezpečnostní záležitosti, jakou mají ministři a státní zaměstnanci.|mt
July 25 (UPI) -- The Centers for Disease Control and Prevention is investigating an outbreak of salmonella that has sickened 212 people in 23 states.|25. července (UPI) – Středisko pro kontrolu a prevenci nemocí (CDC) prošetřuje šíření salmonelózy, kterou onemocnělo již 212 lidí v 23 státech.|human
The symbolism was impossible to miss for both supporters and opponents of Modi's Hindu nationalist Bharatiya Janata Party, or BJP, whose manifesto had for decades included pledges to strip restive Kashmir's autonomy and to build a temple to the Hindu god Ram where the Mughal-era mosque once stood, a site in the city of Ayodhya in Uttar Pradesh state that devotees believe to be Ram's birthplace.|Symboliku nebylo možné přehlédnout jak pro příznivce, tak pro odpůrce Módího hinduistické nacionalistické strany Bharatija Janata, neboli BJP, jejíž manifest po desetiletí obsahoval sliby, že zbaví neklidný Kašmír autonomie a postaví chrám hinduistického boha Berana tam, kde kdysi stávala mešita z Mughalské éry, místo ve městě Aodhja ve státě Uttarpradéš, o němž se věřící domnívají, že je Beranovým rodištěm.|mt
Paltrow has two children, Apple (16) and Moses (14), with ex-husband Chris Martin and she wants them to have good values and not get by on their parents fame.|Paltrowová má s bývalým manželem Chrisem Martinem dvě děti, Apple (16) a Mosese (14), a chce, aby měly dobré hodnoty a nepřiživovaly se na slávě svých rodičů.|mt
Comes complete with a compression stuff sack, to make the bag smaller when not in use.|Dodává se s kompresním vakem, díky kterému je pytel menší, když se nepoužívá.|human
China also had a major military conflict with Vietnam in 1979. China claims sovereignty over all of South China Sea. Vietnam, Malaysia, the Philippines, Brunei and Taiwan have counter claims.|Čína také měla velký vojenský konflikt s Vietnamem v roce 1979. Čína si nárokuje suverenitu nad celým Jihočínským mořem. Vietnam, Malajsie, Filipíny, Brunej a Tchaj-wan mají protizákonné nároky.|mt
"""There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks"" quarantine."|„Ve Španělsku jsou momentálně zmatení a zoufalí rekreanti, lidé, kteří se chystají na dovolenou do Španělska a na ostrovy jako Tenerife, jsou zmatení a nevědí, zda jim jejich zaměstnavatelé dovolí trvat dva týdny.“ Karanténa .|mt
While Manchester United and Tottenham are said to be in a battle for Rakitic's services.|Zatímco Manchester United a Tottenham prý bojují o Rakitičovy služby.|mt
"""What we don't need is more fuel on the fire from federal agents to make, I think, an exciting political issue,"" he said."|„Skutečně nepotřebujeme, aby se přiléval olej do ohně tím, že se z přítomnosti federálních agentů udělá velké politické téma,“ řekl Lucas.|human
He patented and produced wrought iron chains after being affected by the loss of Royal Naval ships which had broken free from ropes.|Ten si nechal patentovat a vyráběl kované železné řetězy poté, co byl postižen ztrátou lodí Královského námořnictva, které se utrhly od lan.|mt
Insurance says it’s not medically necessary.|Podle pojišťovny to není z lékařského hlediska nutné.|mt
Day/Night Cycle - Along with unique weather and climate changes, the game revolves around a day/night cycle that alters NPC behavior and triggers various events based on the time of day.|Day/Night Cycle - Spolu s jedinečnými změnami počasí a klimatu se hra točí kolem denního/nočního cyklu, který mění chování NPC a spouští různé události podle denní doby.|mt
Tap the Menu icon at the top of the screen.|Klepněte na ikonu Nabídka v horní části obrazovky.|mt
A $100 investment at launch would be worth over $2 million today!|Investice ve výši 100 dolarů při spuštění by dnes měla hodnotu více než 2 miliony dolarů!|mt
